135,136,143,distance,heart_rate,timestamp
176,62,65,0.0,62,2025-08-01 17:04:35+00:00
176,62,65,0.0,62,2025-08-01 17:04:36+00:00
176,63,65,0.0,63,2025-08-01 17:04:37+00:00
176,64,65,0.0,64,2025-08-01 17:04:40+00:00
134,65,65,0.0,65,2025-08-01 17:04:41+00:00
15,64,65,0.0,64,2025-08-01 17:04:43+00:00
8,65,65,0.0,65,2025-08-01 17:04:44+00:00
12,66,65,0.0,66,2025-08-01 17:04:46+00:00
20,67,65,0.0,67,2025-08-01 17:04:47+00:00
24,68,65,0.0,68,2025-08-01 17:04:48+00:00
12,73,65,0.0,73,2025-08-01 17:04:49+00:00
3,76,65,0.0,76,2025-08-01 17:04:50+00:00
3,77,65,0.0,77,2025-08-01 17:04:51+00:00
1,78,65,0.0,78,2025-08-01 17:04:56+00:00
2,77,65,0.0,77,2025-08-01 17:04:57+00:00
2,78,65,0.0,78,2025-08-01 17:04:58+00:00
2,77,65,0.0,77,2025-08-01 17:04:59+00:00
7,78,65,0.0,78,2025-08-01 17:05:02+00:00
17,79,65,0.0,79,2025-08-01 17:05:05+00:00
28,78,65,0.0,78,2025-08-01 17:05:07+00:00
33,79,65,0.0,79,2025-08-01 17:05:09+00:00
38,81,65,0.0,81,2025-08-01 17:05:10+00:00
39,83,65,0.0,83,2025-08-01 17:05:11+00:00
39,85,65,0.0,85,2025-08-01 17:05:12+00:00
41,86,65,0.0,86,2025-08-01 17:05:13+00:00
39,88,65,0.0,88,2025-08-01 17:05:14+00:00
30,90,65,0.0,90,2025-08-01 17:05:15+00:00
25,92,65,0.0,92,2025-08-01 17:05:16+00:00
33,93,65,0.0,93,2025-08-01 17:05:20+00:00
33,95,65,0.0,95,2025-08-01 17:05:21+00:00
29,96,65,0.0,96,2025-08-01 17:05:22+00:00
26,98,65,0.0,98,2025-08-01 17:05:23+00:00
33,99,65,0.0,99,2025-08-01 17:05:24+00:00
38,100,65,0.0,100,2025-08-01 17:05:25+00:00
42,101,65,0.0,101,2025-08-01 17:05:26+00:00
47,102,65,0.0,102,2025-08-01 17:05:27+00:00
52,103,65,0.0,103,2025-08-01 17:05:28+00:00
65,104,65,0.0,104,2025-08-01 17:05:30+00:00
62,103,65,0.0,103,2025-08-01 17:05:32+00:00
69,102,65,0.0,102,2025-08-01 17:05:33+00:00
29,97,65,0.0,97,2025-08-01 17:05:35+00:00
17,95,65,0.0,95,2025-08-01 17:05:36+00:00
10,94,65,0.0,94,2025-08-01 17:05:37+00:00
16,93,65,0.0,93,2025-08-01 17:05:39+00:00
7,94,65,0.0,94,2025-08-01 17:05:40+00:00
8,95,65,0.0,95,2025-08-01 17:05:41+00:00
7,96,65,0.0,96,2025-08-01 17:05:42+00:00
8,97,65,0.0,97,2025-08-01 17:05:43+00:00
3,98,65,0.0,98,2025-08-01 17:05:45+00:00
4,99,65,0.0,99,2025-08-01 17:05:47+00:00
2,98,65,0.0,98,2025-08-01 17:05:49+00:00
6,99,65,0.0,99,2025-08-01 17:05:50+00:00
19,100,65,0.0,100,2025-08-01 17:05:52+00:00
22,99,65,0.0,99,2025-08-01 17:05:53+00:00
9,97,65,0.0,97,2025-08-01 17:05:54+00:00
4,96,65,0.0,96,2025-08-01 17:05:55+00:00
7,97,65,0.0,97,2025-08-01 17:05:56+00:00
