135,136,143,distance,heart_rate,timestamp
103,58,82,0.0,58,2025-08-29 09:12:20+00:00
108,59,82,0.0,59,2025-08-29 09:12:21+00:00
97,62,82,0.0,62,2025-08-29 09:12:22+00:00
39,67,82,0.0,67,2025-08-29 09:12:23+00:00
16,68,82,0.0,68,2025-08-29 09:12:24+00:00
13,69,82,0.0,69,2025-08-29 09:12:25+00:00
3,70,82,0.0,70,2025-08-29 09:12:29+00:00
2,71,82,0.0,71,2025-08-29 09:12:34+00:00
1,72,82,0.0,72,2025-08-29 09:12:36+00:00
1,74,82,0.0,74,2025-08-29 09:12:37+00:00
17,75,82,0.0,75,2025-08-29 09:12:39+00:00
14,76,82,0.0,76,2025-08-29 09:12:42+00:00
29,77,82,0.0,77,2025-08-29 09:12:44+00:00
37,79,82,0.0,79,2025-08-29 09:12:46+00:00
40,81,82,0.0,81,2025-08-29 09:12:47+00:00
15,88,82,0.0,88,2025-08-29 09:12:48+00:00
8,90,82,0.0,90,2025-08-29 09:12:49+00:00
3,89,82,0.0,89,2025-08-29 09:12:54+00:00
5,88,82,0.0,88,2025-08-29 09:12:58+00:00
5,87,82,0.0,87,2025-08-29 09:12:59+00:00
7,86,82,0.0,86,2025-08-29 09:13:00+00:00
25,85,82,0.0,85,2025-08-29 09:13:07+00:00
47,84,82,0.0,84,2025-08-29 09:13:10+00:00
44,83,82,0.0,83,2025-08-29 09:13:11+00:00
38,82,82,0.0,82,2025-08-29 09:13:12+00:00
16,83,82,0.0,83,2025-08-29 09:13:16+00:00
15,84,82,0.0,84,2025-08-29 09:13:17+00:00
5,87,82,0.0,87,2025-08-29 09:13:18+00:00
5,88,82,0.0,88,2025-08-29 09:13:19+00:00
3,87,82,0.0,87,2025-08-29 09:13:25+00:00
3,85,82,0.0,85,2025-08-29 09:13:30+00:00
3,84,82,0.0,84,2025-08-29 09:13:38+00:00
20,85,82,0.0,85,2025-08-29 09:13:44+00:00
22,88,82,0.0,88,2025-08-29 09:13:45+00:00
21,91,82,0.0,91,2025-08-29 09:13:46+00:00
20,94,82,0.0,94,2025-08-29 09:13:47+00:00
26,95,82,0.0,95,2025-08-29 09:13:48+00:00
5,88,82,0.0,88,2025-08-29 09:13:49+00:00
3,87,82,0.0,87,2025-08-29 09:13:50+00:00
4,86,82,0.0,86,2025-08-29 09:13:51+00:00
10,88,82,0.0,88,2025-08-29 09:13:52+00:00
24,91,82,0.0,91,2025-08-29 09:13:54+00:00
26,97,82,0.0,97,2025-08-29 09:13:55+00:00
16,110,82,0.0,110,2025-08-29 09:13:56+00:00
13,116,82,0.0,116,2025-08-29 09:13:57+00:00
17,113,82,0.0,113,2025-08-29 09:13:58+00:00
19,110,82,0.0,110,2025-08-29 09:13:59+00:00
18,107,82,0.0,107,2025-08-29 09:14:00+00:00
13,105,82,0.0,105,2025-08-29 09:14:01+00:00
22,104,82,0.0,104,2025-08-29 09:14:03+00:00
28,102,82,0.0,102,2025-08-29 09:14:05+00:00
24,96,82,0.0,96,2025-08-29 09:14:06+00:00
23,93,82,0.0,93,2025-08-29 09:14:07+00:00
10,86,82,0.0,86,2025-08-29 09:14:08+00:00
10,83,82,0.0,83,2025-08-29 09:14:09+00:00
8,82,82,0.0,82,2025-08-29 09:14:10+00:00
9,81,82,0.0,81,2025-08-29 09:14:11+00:00
8,82,82,0.0,82,2025-08-29 09:14:16+00:00
7,81,82,0.0,81,2025-08-29 09:14:17+00:00
1,80,82,0.0,80,2025-08-29 09:14:20+00:00
0,81,82,0.0,81,2025-08-29 09:14:22+00:00
0,80,82,0.0,80,2025-08-29 09:14:25+00:00
0,81,82,0.0,81,2025-08-29 09:14:26+00:00
2,78,82,0.0,78,2025-08-29 09:14:35+00:00
1,76,82,0.0,76,2025-08-29 09:14:36+00:00
1,75,82,0.0,75,2025-08-29 09:14:40+00:00
1,74,82,0.0,74,2025-08-29 09:14:41+00:00
1,73,82,0.0,73,2025-08-29 09:14:42+00:00
3,72,82,0.0,72,2025-08-29 09:14:46+00:00
3,73,82,0.0,73,2025-08-29 09:14:51+00:00
2,74,82,0.0,74,2025-08-29 09:14:52+00:00
7,73,82,0.0,73,2025-08-29 09:14:53+00:00
6,74,82,0.0,74,2025-08-29 09:14:54+00:00
6,75,82,0.0,75,2025-08-29 09:14:55+00:00
2,76,82,0.0,76,2025-08-29 09:14:56+00:00
4,75,82,0.0,75,2025-08-29 09:14:57+00:00
11,76,82,0.0,76,2025-08-29 09:15:01+00:00
9,78,82,0.0,78,2025-08-29 09:15:02+00:00
5,79,82,0.0,79,2025-08-29 09:15:03+00:00
7,80,82,0.0,80,2025-08-29 09:15:07+00:00
5,79,82,0.0,79,2025-08-29 09:15:08+00:00
16,78,82,0.0,78,2025-08-29 09:15:10+00:00
47,79,82,0.0,79,2025-08-29 09:15:15+00:00
36,81,82,0.0,81,2025-08-29 09:15:16+00:00
30,82,82,0.0,82,2025-08-29 09:15:17+00:00
18,81,82,0.0,81,2025-08-29 09:15:19+00:00
