14,2,category,duration,message_index,repetitions,set_type,start_time,timestamp
0,"[255, None]","['unknown', 'curl']",117.444,0,6,active,2025-07-15 16:06:13+00:00,2025-07-15 16:06:13+00:00
,,,60.695,1,,rest,2025-07-15 16:08:10+00:00,2025-07-15 16:06:13+00:00
1,"[255, None]","['unknown', 'curl']",133.237,2,7,active,2025-07-15 16:09:11+00:00,2025-07-15 16:06:13+00:00
,,,60.584,3,,rest,2025-07-15 16:11:24+00:00,2025-07-15 16:06:13+00:00
2,"[255, None]","['unknown', 'curl']",74.445,4,5,active,2025-07-15 16:12:24+00:00,2025-07-15 16:06:13+00:00
,,,45.1,5,,rest,2025-07-15 16:13:39+00:00,2025-07-15 16:06:13+00:00
3,"[212, 42]","['squat', 'unknown']",159.567,6,5,active,2025-07-15 16:14:24+00:00,2025-07-15 16:06:13+00:00
,,,75.505,7,,rest,2025-07-15 16:17:04+00:00,2025-07-15 16:06:13+00:00
4,"[255, None]","['unknown', 'curl']",152.51,8,3,active,2025-07-15 16:18:19+00:00,2025-07-15 16:06:13+00:00
,,,91.029,9,,rest,2025-07-15 16:20:52+00:00,2025-07-15 16:06:13+00:00
5,"[255, None]","['unknown', 'curl']",150.224,10,0,active,2025-07-15 16:22:23+00:00,2025-07-15 16:06:13+00:00
,,,90.8,11,,rest,2025-07-15 16:24:53+00:00,2025-07-15 16:06:13+00:00
6,"[255, None]","['unknown', 'curl']",1.15,12,0,active,2025-07-15 16:26:24+00:00,2025-07-15 16:06:13+00:00
