135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
1,47,83,,14.0,47,2025-04-29 09:26:21+00:00
1,48,83,,14.0,48,2025-04-29 09:26:22+00:00
1,48,83,,14.0,48,2025-04-29 09:26:23+00:00
1,48,83,,13.0,48,2025-04-29 09:26:24+00:00
1,48,83,,13.0,48,2025-04-29 09:26:25+00:00
1,49,83,,13.0,49,2025-04-29 09:26:26+00:00
1,49,83,,13.0,49,2025-04-29 09:26:27+00:00
1,49,83,,13.0,49,2025-04-29 09:26:28+00:00
1,50,83,,13.0,50,2025-04-29 09:26:29+00:00
1,50,83,,13.0,50,2025-04-29 09:26:30+00:00
1,50,83,,13.0,50,2025-04-29 09:26:31+00:00
1,50,83,,13.0,50,2025-04-29 09:26:32+00:00
1,49,83,,13.0,49,2025-04-29 09:26:33+00:00
1,49,83,,13.0,49,2025-04-29 09:26:34+00:00
1,49,83,,13.0,49,2025-04-29 09:26:35+00:00
0,50,83,,13.0,50,2025-04-29 09:26:36+00:00
0,50,83,,13.0,50,2025-04-29 09:26:37+00:00
0,50,83,,13.0,50,2025-04-29 09:26:38+00:00
0,49,83,,13.0,49,2025-04-29 09:26:39+00:00
0,49,83,,13.0,49,2025-04-29 09:26:40+00:00
0,49,83,,13.0,49,2025-04-29 09:26:41+00:00
0,48,83,,13.0,48,2025-04-29 09:26:42+00:00
0,48,83,,13.0,48,2025-04-29 09:26:43+00:00
0,48,83,,13.0,48,2025-04-29 09:26:44+00:00
