133,135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
,10,60,76,7.0,16.51,60,2025-02-17 12:49:51+00:00
,13,61,76,7.0,16.51,61,2025-02-17 12:49:52+00:00
,13,61,76,7.0,16.51,61,2025-02-17 12:49:53+00:00
,13,61,76,7.0,16.22,61,2025-02-17 12:49:54+00:00
,13,61,76,8.0,16.22,61,2025-02-17 12:49:55+00:00
,13,61,76,8.0,16.22,61,2025-02-17 12:49:56+00:00
,20,62,76,8.0,16.21,62,2025-02-17 12:49:57+00:00
,20,62,76,8.0,16.21,62,2025-02-17 12:49:58+00:00
,20,62,76,8.0,16.49,62,2025-02-17 12:49:59+00:00
,14,63,76,7.0,16.49,63,2025-02-17 12:50:00+00:00
,14,63,76,7.0,16.49,63,2025-02-17 12:50:01+00:00
,14,63,76,7.0,16.49,63,2025-02-17 12:50:02+00:00
,14,63,76,7.0,16.55,63,2025-02-17 12:50:03+00:00
,5,62,76,7.0,16.55,62,2025-02-17 12:50:04+00:00
,5,62,76,6.0,16.55,62,2025-02-17 12:50:05+00:00
,2,61,76,6.0,16.55,61,2025-02-17 12:50:06+00:00
,2,61,76,6.0,16.55,61,2025-02-17 12:50:07+00:00
,1,60,76,6.0,16.55,60,2025-02-17 12:50:08+00:00
,1,60,76,6.0,16.36,60,2025-02-17 12:50:09+00:00
,1,59,76,5.0,16.36,59,2025-02-17 12:50:10+00:00
,1,59,76,5.0,16.36,59,2025-02-17 12:50:11+00:00
,1,58,76,5.0,16.36,58,2025-02-17 12:50:12+00:00
,1,58,76,5.0,16.29,58,2025-02-17 12:50:13+00:00
,1,58,76,5.0,16.29,58,2025-02-17 12:50:14+00:00
,1,57,76,5.0,16.29,57,2025-02-17 12:50:15+00:00
,1,57,76,5.0,16.29,57,2025-02-17 12:50:16+00:00
,1,57,76,5.0,16.04,57,2025-02-17 12:50:17+00:00
,1,57,76,5.0,16.04,57,2025-02-17 12:50:18+00:00
,1,58,76,5.0,16.04,58,2025-02-17 12:50:19+00:00
,1,57,76,3.0,16.04,57,2025-02-17 12:50:20+00:00
,1,57,76,3.0,15.98,57,2025-02-17 12:50:21+00:00
,1,57,76,3.0,15.98,57,2025-02-17 12:50:22+00:00
,1,57,76,3.0,15.98,57,2025-02-17 12:50:23+00:00
,1,58,76,3.0,15.98,58,2025-02-17 12:50:24+00:00
,1,57,76,1.0,15.98,57,2025-02-17 12:50:25+00:00
,1,57,76,1.0,15.8,57,2025-02-17 12:50:26+00:00
,1,57,76,1.0,15.8,57,2025-02-17 12:50:27+00:00
,1,57,76,1.0,15.8,57,2025-02-17 12:50:28+00:00
,1,58,76,1.0,15.8,58,2025-02-17 12:50:29+00:00
,1,57,76,2.0,15.8,57,2025-02-17 12:50:30+00:00
,1,57,76,2.0,15.64,57,2025-02-17 12:50:31+00:00
,1,57,76,2.0,15.64,57,2025-02-17 12:50:32+00:00
,1,57,76,2.0,15.64,57,2025-02-17 12:50:33+00:00
,1,58,76,2.0,15.64,58,2025-02-17 12:50:34+00:00
,1,57,76,3.0,15.53,57,2025-02-17 12:50:35+00:00
,1,57,76,3.0,15.53,57,2025-02-17 12:50:36+00:00
,1,57,76,3.0,15.53,57,2025-02-17 12:50:37+00:00
,1,57,76,3.0,15.53,57,2025-02-17 12:50:38+00:00
,1,58,76,3.0,15.46,58,2025-02-17 12:50:39+00:00
,1,57,76,4.0,15.46,57,2025-02-17 12:50:40+00:00
