14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp,weight,weight_display_unit,wkt_step_index
0,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",300.0,0,,active,2025-10-02 13:07:16+00:00,2025-10-02 13:07:16+00:00,0.0,kilogram,0
1,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",275.664,1,,active,2025-10-02 13:12:16+00:00,2025-10-02 13:07:16+00:00,0.0,kilogram,1
2,"[255, 255]","['row', 'row']","[45, 45]",44.77,2,12,active,2025-10-02 13:16:51+00:00,2025-10-02 13:07:16+00:00,20.0,kilogram,2
,,,,45.206,3,,rest,2025-10-02 13:17:36+00:00,2025-10-02 13:07:16+00:00,,,3
3,"[255, 255]","['row', 'row']","[45, 45]",43.758,4,12,active,2025-10-02 13:18:21+00:00,2025-10-02 13:07:16+00:00,22.5,kilogram,2
,,,,45.445,5,,rest,2025-10-02 13:19:05+00:00,2025-10-02 13:07:16+00:00,,,3
4,"[255, 255]","['row', 'row']","[45, 45]",40.872,6,12,active,2025-10-02 13:19:50+00:00,2025-10-02 13:07:16+00:00,22.5,kilogram,2
,,,,45.448,7,,rest,2025-10-02 13:20:31+00:00,2025-10-02 13:07:16+00:00,,,3
5,"[255, 255]","['row', 'row']","[45, 45]",42.875,8,12,active,2025-10-02 13:21:17+00:00,2025-10-02 13:07:16+00:00,22.5,kilogram,2
,,,,135.788,9,,rest,2025-10-02 13:22:00+00:00,2025-10-02 13:07:16+00:00,,,3
6,"[255, 255]","['pull_up', 'pull_up']","[13, 13]",54.711,10,12,active,2025-10-02 13:24:15+00:00,2025-10-02 13:07:16+00:00,20.0,kilogram,5
,,,,40.471,11,,rest,2025-10-02 13:25:10+00:00,2025-10-02 13:07:16+00:00,,,6
7,"[255, 255]","['pull_up', 'pull_up']","[13, 13]",50.334,12,12,active,2025-10-02 13:25:51+00:00,2025-10-02 13:07:16+00:00,20.0,kilogram,5
,,,,40.404,13,,rest,2025-10-02 13:26:41+00:00,2025-10-02 13:07:16+00:00,,,6
