135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
0,49,78,6.0,14.0,49,2025-06-10 09:02:48+00:00
0,48,78,6.0,14.0,48,2025-06-10 09:02:49+00:00
0,48,78,6.0,14.0,48,2025-06-10 09:02:50+00:00
0,48,78,6.0,14.0,48,2025-06-10 09:02:51+00:00
0,48,78,6.0,14.0,48,2025-06-10 09:02:52+00:00
0,48,78,6.0,14.0,48,2025-06-10 09:02:53+00:00
1,49,78,6.0,14.0,49,2025-06-10 09:02:54+00:00
1,48,78,5.0,14.0,48,2025-06-10 09:02:55+00:00
1,48,78,5.0,14.0,48,2025-06-10 09:02:56+00:00
1,48,78,5.0,15.0,48,2025-06-10 09:02:57+00:00
1,48,78,5.0,15.0,48,2025-06-10 09:02:58+00:00
1,49,78,5.0,15.0,49,2025-06-10 09:02:59+00:00
1,49,78,4.0,15.0,49,2025-06-10 09:03:00+00:00
1,49,78,4.0,15.0,49,2025-06-10 09:03:01+00:00
1,50,78,4.0,15.0,50,2025-06-10 09:03:02+00:00
1,50,78,4.0,15.0,50,2025-06-10 09:03:03+00:00
1,50,78,4.0,15.0,50,2025-06-10 09:03:04+00:00
1,51,78,3.0,15.0,51,2025-06-10 09:03:05+00:00
1,52,78,3.0,15.0,52,2025-06-10 09:03:06+00:00
1,52,78,3.0,15.0,52,2025-06-10 09:03:07+00:00
1,52,78,3.0,15.0,52,2025-06-10 09:03:08+00:00
1,53,78,3.0,15.0,53,2025-06-10 09:03:09+00:00
1,53,78,3.0,15.0,53,2025-06-10 09:03:10+00:00
1,53,78,3.0,15.0,53,2025-06-10 09:03:11+00:00
1,52,78,3.0,16.0,52,2025-06-10 09:03:12+00:00
1,52,78,3.0,16.0,52,2025-06-10 09:03:13+00:00
1,53,78,3.0,16.0,53,2025-06-10 09:03:14+00:00
1,53,78,3.0,16.0,53,2025-06-10 09:03:15+00:00
1,53,78,3.0,16.0,53,2025-06-10 09:03:16+00:00
1,54,78,3.0,16.0,54,2025-06-10 09:03:17+00:00
1,54,78,3.0,16.0,54,2025-06-10 09:03:18+00:00
1,54,78,3.0,16.0,54,2025-06-10 09:03:19+00:00
1,53,78,3.0,16.0,53,2025-06-10 09:03:20+00:00
1,53,78,3.0,17.0,53,2025-06-10 09:03:21+00:00
1,53,78,3.0,17.0,53,2025-06-10 09:03:22+00:00
1,53,78,3.0,17.0,53,2025-06-10 09:03:23+00:00
1,53,78,3.0,17.0,53,2025-06-10 09:03:24+00:00
1,53,78,3.0,17.0,53,2025-06-10 09:03:25+00:00
1,52,78,3.0,17.0,52,2025-06-10 09:03:26+00:00
1,53,78,3.0,17.0,53,2025-06-10 09:03:27+00:00
1,52,78,3.0,17.0,52,2025-06-10 09:03:28+00:00
1,52,78,3.0,17.0,52,2025-06-10 09:03:29+00:00
1,51,78,3.0,17.0,51,2025-06-10 09:03:30+00:00
1,51,78,3.0,17.0,51,2025-06-10 09:03:31+00:00
1,51,78,3.0,17.0,51,2025-06-10 09:03:32+00:00
1,51,78,3.0,17.0,51,2025-06-10 09:03:33+00:00
1,51,78,3.0,17.0,51,2025-06-10 09:03:34+00:00
1,52,78,3.0,17.0,52,2025-06-10 09:03:35+00:00
1,51,78,3.0,17.0,51,2025-06-10 09:03:36+00:00
1,51,78,3.0,17.0,51,2025-06-10 09:03:37+00:00
1,51,78,3.0,17.0,51,2025-06-10 09:03:38+00:00
1,51,78,3.0,17.0,51,2025-06-10 09:03:39+00:00
1,51,78,2.0,17.0,51,2025-06-10 09:03:40+00:00
1,51,78,2.0,17.0,51,2025-06-10 09:03:41+00:00
1,50,78,2.0,17.0,50,2025-06-10 09:03:42+00:00
1,50,78,2.0,17.0,50,2025-06-10 09:03:43+00:00
1,50,78,2.0,17.0,50,2025-06-10 09:03:44+00:00
1,50,78,1.0,17.0,50,2025-06-10 09:03:45+00:00
1,50,78,1.0,17.0,50,2025-06-10 09:03:46+00:00
1,50,78,1.0,17.0,50,2025-06-10 09:03:47+00:00
2,51,78,1.0,17.0,51,2025-06-10 09:03:48+00:00
2,51,78,1.0,17.0,51,2025-06-10 09:03:49+00:00
2,51,78,1.0,17.0,51,2025-06-10 09:03:50+00:00
2,51,78,1.0,17.0,51,2025-06-10 09:03:51+00:00
2,51,78,1.0,16.0,51,2025-06-10 09:03:52+00:00
1,50,78,1.0,16.0,50,2025-06-10 09:03:53+00:00
1,50,78,1.0,16.0,50,2025-06-10 09:03:54+00:00
0,49,78,1.0,16.0,49,2025-06-10 09:03:55+00:00
0,50,78,1.0,16.0,50,2025-06-10 09:03:56+00:00
1,51,78,1.0,16.0,51,2025-06-10 09:03:57+00:00
3,52,78,1.0,16.0,52,2025-06-10 09:03:58+00:00
3,52,78,1.0,16.0,52,2025-06-10 09:03:59+00:00
3,52,78,1.0,16.0,52,2025-06-10 09:04:00+00:00
7,51,78,1.0,16.0,51,2025-06-10 09:04:01+00:00
7,51,78,1.0,16.0,51,2025-06-10 09:04:02+00:00
8,52,78,1.0,16.0,52,2025-06-10 09:04:03+00:00
8,52,78,1.0,16.0,52,2025-06-10 09:04:04+00:00
9,51,78,1.0,16.0,51,2025-06-10 09:04:05+00:00
9,51,78,1.0,15.0,51,2025-06-10 09:04:06+00:00
9,51,78,1.0,15.0,51,2025-06-10 09:04:07+00:00
9,51,78,1.0,15.0,51,2025-06-10 09:04:08+00:00
21,52,78,1.0,15.0,52,2025-06-10 09:04:09+00:00
21,57,78,1.0,15.0,57,2025-06-10 09:04:10+00:00
7,65,78,1.0,15.0,65,2025-06-10 09:04:11+00:00
3,67,78,1.0,15.0,67,2025-06-10 09:04:12+00:00
0,56,78,19.0,15.0,56,2025-06-10 09:04:55+00:00
1,57,78,19.0,15.0,57,2025-06-10 09:04:56+00:00
1,57,78,19.0,15.0,57,2025-06-10 09:04:57+00:00
3,58,78,19.0,15.0,58,2025-06-10 09:04:58+00:00
3,58,78,19.0,15.0,58,2025-06-10 09:04:59+00:00
4,59,78,19.0,14.0,59,2025-06-10 09:05:00+00:00
1,60,78,19.0,14.0,60,2025-06-10 09:05:01+00:00
1,60,78,19.0,14.0,60,2025-06-10 09:05:02+00:00
1,60,78,19.0,14.0,60,2025-06-10 09:05:03+00:00
1,62,78,19.0,14.0,62,2025-06-10 09:05:04+00:00
1,64,78,19.0,14.0,64,2025-06-10 09:05:05+00:00
1,65,78,19.0,13.0,65,2025-06-10 09:05:06+00:00
0,66,78,19.0,13.0,66,2025-06-10 09:05:07+00:00
0,67,78,19.0,13.0,67,2025-06-10 09:05:08+00:00
0,67,78,19.0,13.0,67,2025-06-10 09:05:09+00:00
0,67,78,21.0,13.0,67,2025-06-10 09:05:10+00:00
0,66,78,21.0,12.0,66,2025-06-10 09:05:11+00:00
