14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp,weight,weight_display_unit,wkt_step_index
0,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",300.0,0,,active,2025-10-09 14:58:25+00:00,2025-10-09 14:58:25+00:00,0.0,kilogram,0
1,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",367.72,1,,active,2025-10-09 15:03:25+00:00,2025-10-09 14:58:25+00:00,0.0,kilogram,1
2,"[255, 255]","['hip_raise', 'hip_raise']","[0, 0]",44.007,2,12,active,2025-10-09 15:09:33+00:00,2025-10-09 14:58:25+00:00,40.0,kilogram,2
,,,,60.238,3,,rest,2025-10-09 15:10:17+00:00,2025-10-09 14:58:25+00:00,,,3
3,"[255, 255]","['hip_raise', 'hip_raise']","[0, 0]",55.055,4,12,active,2025-10-09 15:11:17+00:00,2025-10-09 14:58:25+00:00,40.0,kilogram,2
,,,,60.425,5,,rest,2025-10-09 15:12:12+00:00,2025-10-09 14:58:25+00:00,,,3
4,"[255, 255]","['hip_raise', 'hip_raise']","[0, 0]",48.471,6,12,active,2025-10-09 15:13:13+00:00,2025-10-09 14:58:25+00:00,40.0,kilogram,2
,,,,60.493,7,,rest,2025-10-09 15:14:01+00:00,2025-10-09 14:58:25+00:00,,,3
5,"[255, 255]","['hip_raise', 'hip_raise']","[0, 0]",46.851,8,12,active,2025-10-09 15:15:02+00:00,2025-10-09 14:58:25+00:00,40.0,kilogram,2
,,,,120.353,9,,rest,2025-10-09 15:15:49+00:00,2025-10-09 14:58:25+00:00,,,3
6,"[255, 255]","['hip_raise', 'hip_raise']","[0, 0]",35.362,10,20,active,2025-10-09 15:17:49+00:00,2025-10-09 14:58:25+00:00,50.0,kilogram,5
,,,,190.588,11,,rest,2025-10-09 15:18:24+00:00,2025-10-09 14:58:25+00:00,,,6
7,"[255, 255]","['lunge', 'lunge']","[18, 18]",118.201,12,10,active,2025-10-09 15:21:35+00:00,2025-10-09 14:58:25+00:00,7.5,kilogram,8
,,,,60.315,13,,rest,2025-10-09 15:23:33+00:00,2025-10-09 14:58:25+00:00,,,9
8,"[255, 255]","['lunge', 'lunge']","[18, 18]",116.164,14,10,active,2025-10-09 15:24:33+00:00,2025-10-09 14:58:25+00:00,7.5,kilogram,8
,,,,60.333,15,,rest,2025-10-09 15:26:30+00:00,2025-10-09 14:58:25+00:00,,,9
9,"[255, 255]","['lunge', 'lunge']","[18, 18]",118.162,16,10,active,2025-10-09 15:27:30+00:00,2025-10-09 14:58:25+00:00,7.5,kilogram,8
,,,,105.402,17,,rest,2025-10-09 15:29:28+00:00,2025-10-09 14:58:25+00:00,,,9
10,"[255, 255]","['deadlift', 'deadlift']","[4, 4]",73.977,18,12,active,2025-10-09 15:31:13+00:00,2025-10-09 14:58:25+00:00,7.5,kilogram,11
,,,,60.401,19,,rest,2025-10-09 15:32:27+00:00,2025-10-09 14:58:25+00:00,,,12
11,"[255, 255]","['deadlift', 'deadlift']","[4, 4]",71.672,20,12,active,2025-10-09 15:33:28+00:00,2025-10-09 14:58:25+00:00,7.5,kilogram,11
,,,,60.246,21,,rest,2025-10-09 15:34:39+00:00,2025-10-09 14:58:25+00:00,,,12
12,"[255, 255]","['deadlift', 'deadlift']","[4, 4]",74.296,22,12,active,2025-10-09 15:35:40+00:00,2025-10-09 14:58:25+00:00,7.5,kilogram,11
,,,,90.491,23,,rest,2025-10-09 15:36:54+00:00,2025-10-09 14:58:25+00:00,,,12
13,"[255, 255]","['leg_curl', 'leg_curl']","[0, 0]",48.491,24,12,active,2025-10-09 15:38:25+00:00,2025-10-09 14:58:25+00:00,37.5,kilogram,14
,,,,60.601,25,,rest,2025-10-09 15:39:13+00:00,2025-10-09 14:58:25+00:00,,,15
14,"[255, 255]","['leg_curl', 'leg_curl']","[0, 0]",43.632,26,12,active,2025-10-09 15:40:14+00:00,2025-10-09 14:58:25+00:00,37.5,kilogram,14
,,,,60.491,27,,rest,2025-10-09 15:40:57+00:00,2025-10-09 14:58:25+00:00,,,15
15,"[255, 255]","['leg_curl', 'leg_curl']","[0, 0]",51.337,28,12,active,2025-10-09 15:41:58+00:00,2025-10-09 14:58:25+00:00,37.5,kilogram,14
,,,,60.49,29,,rest,2025-10-09 15:42:49+00:00,2025-10-09 14:58:25+00:00,,,15
16,"[255, 255]","['leg_curl', 'leg_curl']","[0, 0]",57.269,30,20,active,2025-10-09 15:43:50+00:00,2025-10-09 14:58:25+00:00,25.0,kilogram,14
,,,,61.479,31,,rest,2025-10-09 15:44:47+00:00,2025-10-09 14:58:25+00:00,,,15
17,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",600.0,32,,active,2025-10-09 15:45:48+00:00,2025-10-09 14:58:25+00:00,0.0,kilogram,17
18,"[255, 255]","['sit_up', 'sit_up']","[37, 37]",917.37,33,10,active,2025-10-09 15:55:48+00:00,2025-10-09 14:58:25+00:00,,kilogram,18
19,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",180.0,34,,active,2025-10-09 16:11:06+00:00,2025-10-09 14:58:25+00:00,0.0,kilogram,19
,,,,2.839,35,,rest,2025-10-09 16:14:06+00:00,2025-10-09 14:58:25+00:00,,,
