135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
47,75,65,50.0,15.0,75,2025-09-12 09:27:43+00:00
47,75,65,50.0,15.0,75,2025-09-12 09:27:44+00:00
47,75,65,51.0,15.0,75,2025-09-12 09:27:45+00:00
47,75,65,51.0,15.0,75,2025-09-12 09:27:46+00:00
56,76,65,51.0,15.0,76,2025-09-12 09:27:47+00:00
52,75,65,51.0,15.0,75,2025-09-12 09:27:48+00:00
52,75,65,51.0,15.0,75,2025-09-12 09:27:49+00:00
52,75,65,48.0,15.0,75,2025-09-12 09:27:50+00:00
33,76,65,48.0,15.0,76,2025-09-12 09:27:51+00:00
33,76,65,48.0,15.0,76,2025-09-12 09:27:52+00:00
33,76,65,48.0,15.0,76,2025-09-12 09:27:53+00:00
33,76,65,48.0,15.0,76,2025-09-12 09:27:54+00:00
33,76,65,48.0,15.0,76,2025-09-12 09:27:55+00:00
33,76,65,48.0,15.0,76,2025-09-12 09:27:56+00:00
53,75,65,48.0,15.0,75,2025-09-12 09:27:57+00:00
53,75,65,48.0,15.0,75,2025-09-12 09:27:58+00:00
65,76,65,48.0,15.0,76,2025-09-12 09:27:59+00:00
65,76,65,53.0,15.0,76,2025-09-12 09:28:00+00:00
65,76,65,53.0,14.0,76,2025-09-12 09:28:01+00:00
85,75,65,53.0,14.0,75,2025-09-12 09:28:02+00:00
85,75,65,53.0,14.0,75,2025-09-12 09:28:03+00:00
85,75,65,53.0,14.0,75,2025-09-12 09:28:04+00:00
85,75,65,56.0,14.0,75,2025-09-12 09:28:05+00:00
85,75,65,56.0,14.0,75,2025-09-12 09:28:06+00:00
85,75,65,56.0,14.0,75,2025-09-12 09:28:07+00:00
116,74,65,56.0,14.0,74,2025-09-12 09:28:08+00:00
89,71,65,56.0,14.0,71,2025-09-12 09:28:09+00:00
70,69,65,59.0,14.0,69,2025-09-12 09:28:10+00:00
57,67,65,59.0,14.0,67,2025-09-12 09:28:11+00:00
51,66,65,59.0,14.0,66,2025-09-12 09:28:12+00:00
43,64,65,59.0,14.0,64,2025-09-12 09:28:13+00:00
37,63,65,59.0,14.0,63,2025-09-12 09:28:14+00:00
32,61,65,55.0,14.0,61,2025-09-12 09:28:15+00:00
32,60,65,55.0,14.0,60,2025-09-12 09:28:16+00:00
32,60,65,55.0,14.0,60,2025-09-12 09:28:17+00:00
33,59,65,55.0,14.0,59,2025-09-12 09:28:18+00:00
26,56,65,55.0,14.0,56,2025-09-12 09:28:19+00:00
10,52,65,52.0,14.0,52,2025-09-12 09:28:20+00:00
4,50,65,52.0,14.0,50,2025-09-12 09:28:21+00:00
4,50,65,52.0,14.0,50,2025-09-12 09:28:22+00:00
2,49,65,52.0,14.0,49,2025-09-12 09:28:23+00:00
2,50,65,52.0,14.0,50,2025-09-12 09:28:24+00:00
2,50,65,48.0,14.0,50,2025-09-12 09:28:25+00:00
2,50,65,48.0,14.0,50,2025-09-12 09:28:26+00:00
2,50,65,48.0,14.0,50,2025-09-12 09:28:27+00:00
6,54,65,48.0,14.0,54,2025-09-12 09:28:28+00:00
6,54,65,48.0,14.0,54,2025-09-12 09:28:29+00:00
5,53,65,37.0,14.0,53,2025-09-12 09:28:30+00:00
2,52,65,37.0,14.0,52,2025-09-12 09:28:31+00:00
2,52,65,37.0,14.0,52,2025-09-12 09:28:32+00:00
2,52,65,37.0,14.0,52,2025-09-12 09:28:33+00:00
3,53,65,37.0,14.0,53,2025-09-12 09:28:34+00:00
2,52,65,25.0,14.0,52,2025-09-12 09:28:35+00:00
2,53,65,25.0,14.0,53,2025-09-12 09:28:36+00:00
2,53,65,25.0,14.0,53,2025-09-12 09:28:37+00:00
2,53,65,25.0,14.0,53,2025-09-12 09:28:38+00:00
1,52,65,25.0,14.0,52,2025-09-12 09:28:39+00:00
1,53,65,20.0,14.0,53,2025-09-12 09:28:40+00:00
1,53,65,20.0,14.0,53,2025-09-12 09:28:41+00:00
1,53,65,20.0,14.0,53,2025-09-12 09:28:42+00:00
1,54,65,20.0,14.0,54,2025-09-12 09:28:43+00:00
1,54,65,20.0,14.0,54,2025-09-12 09:28:44+00:00
1,54,65,17.0,14.0,54,2025-09-12 09:28:45+00:00
1,54,65,17.0,14.0,54,2025-09-12 09:28:46+00:00
1,53,65,17.0,14.0,53,2025-09-12 09:28:47+00:00
1,54,65,17.0,14.0,54,2025-09-12 09:28:48+00:00
