135,136,143,distance,heart_rate,timestamp
74,62,57,0.0,62,2025-09-24 15:17:27+00:00
51,60,57,0.0,60,2025-09-24 15:17:28+00:00
24,61,57,0.0,61,2025-09-24 15:17:30+00:00
13,62,57,0.0,62,2025-09-24 15:17:31+00:00
10,63,57,0.0,63,2025-09-24 15:17:32+00:00
8,64,57,0.0,64,2025-09-24 15:17:33+00:00
6,65,57,0.0,65,2025-09-24 15:17:34+00:00
4,66,57,0.0,66,2025-09-24 15:17:35+00:00
4,67,57,0.0,67,2025-09-24 15:17:40+00:00
3,68,57,0.0,68,2025-09-24 15:17:41+00:00
2,69,57,0.0,69,2025-09-24 15:17:42+00:00
7,70,57,0.0,70,2025-09-24 15:17:45+00:00
10,71,57,0.0,71,2025-09-24 15:17:47+00:00
3,70,57,0.0,70,2025-09-24 15:17:49+00:00
4,71,57,0.0,71,2025-09-24 15:17:53+00:00
6,72,57,0.0,72,2025-09-24 15:17:54+00:00
10,76,57,0.0,76,2025-09-24 15:17:55+00:00
9,77,57,0.0,77,2025-09-24 15:17:56+00:00
6,76,57,0.0,76,2025-09-24 15:17:57+00:00
5,77,57,0.0,77,2025-09-24 15:17:58+00:00
3,78,57,0.0,78,2025-09-24 15:18:01+00:00
9,79,57,0.0,79,2025-09-24 15:18:02+00:00
14,80,57,0.0,80,2025-09-24 15:18:03+00:00
24,81,57,0.0,81,2025-09-24 15:18:05+00:00
4,80,57,0.0,80,2025-09-24 15:18:07+00:00
9,79,57,0.0,79,2025-09-24 15:18:10+00:00
3,78,57,0.0,78,2025-09-24 15:18:11+00:00
5,77,57,0.0,77,2025-09-24 15:18:12+00:00
20,79,57,0.0,79,2025-09-24 15:18:14+00:00
26,80,57,0.0,80,2025-09-24 15:18:15+00:00
9,76,57,0.0,76,2025-09-24 15:18:16+00:00
19,75,57,0.0,75,2025-09-24 15:18:18+00:00
13,74,57,0.0,74,2025-09-24 15:18:19+00:00
20,75,57,0.0,75,2025-09-24 15:18:20+00:00
26,78,57,0.0,78,2025-09-24 15:18:21+00:00
27,82,57,0.0,82,2025-09-24 15:18:22+00:00
16,89,57,0.0,89,2025-09-24 15:18:23+00:00
14,92,57,0.0,92,2025-09-24 15:18:24+00:00
18,93,57,0.0,93,2025-09-24 15:18:25+00:00
16,94,57,0.0,94,2025-09-24 15:18:26+00:00
35,88,57,0.0,88,2025-09-24 15:18:32+00:00
11,81,57,0.0,81,2025-09-24 15:18:33+00:00
11,81,57,0.0,81,2025-09-24 15:18:34+00:00
21,82,57,0.0,82,2025-09-24 15:18:35+00:00
35,83,57,0.0,83,2025-09-24 15:18:38+00:00
39,84,57,0.0,84,2025-09-24 15:18:39+00:00
44,85,57,0.0,85,2025-09-24 15:18:40+00:00
52,86,57,0.0,86,2025-09-24 15:18:42+00:00
62,87,57,0.0,87,2025-09-24 15:18:45+00:00
80,88,57,0.0,88,2025-09-24 15:18:49+00:00
84,89,57,0.0,89,2025-09-24 15:18:51+00:00
80,90,57,0.0,90,2025-09-24 15:18:54+00:00
70,91,57,0.0,91,2025-09-24 15:18:56+00:00
29,92,57,0.0,92,2025-09-24 15:18:58+00:00
55,91,57,0.0,91,2025-09-24 15:19:05+00:00
56,92,57,0.0,92,2025-09-24 15:19:07+00:00
44,95,57,0.0,95,2025-09-24 15:19:08+00:00
29,97,57,0.0,97,2025-09-24 15:19:09+00:00
17,99,57,0.0,99,2025-09-24 15:19:10+00:00
15,100,57,0.0,100,2025-09-24 15:19:11+00:00
9,99,57,0.0,99,2025-09-24 15:19:15+00:00
10,98,57,0.0,98,2025-09-24 15:19:16+00:00
19,97,57,0.0,97,2025-09-24 15:19:24+00:00
27,96,57,0.0,96,2025-09-24 15:19:29+00:00
30,95,57,0.0,95,2025-09-24 15:19:30+00:00
25,96,57,0.0,96,2025-09-24 15:19:32+00:00
28,95,57,0.0,95,2025-09-24 15:19:33+00:00
35,96,57,0.0,96,2025-09-24 15:19:35+00:00
25,97,57,0.0,97,2025-09-24 15:19:36+00:00
17,99,57,0.0,99,2025-09-24 15:19:37+00:00
7,102,57,0.0,102,2025-09-24 15:19:38+00:00
2,103,57,0.0,103,2025-09-24 15:19:39+00:00
2,104,57,0.0,104,2025-09-24 15:19:41+00:00
2,105,57,0.0,105,2025-09-24 15:19:43+00:00
6,106,57,0.0,106,2025-09-24 15:19:44+00:00
10,107,57,0.0,107,2025-09-24 15:19:46+00:00
13,106,57,0.0,106,2025-09-24 15:19:47+00:00
10,104,57,0.0,104,2025-09-24 15:19:48+00:00
6,102,57,0.0,102,2025-09-24 15:19:49+00:00
6,101,57,0.0,101,2025-09-24 15:19:50+00:00
4,99,57,0.0,99,2025-09-24 15:19:51+00:00
46,100,57,0.0,100,2025-09-24 15:20:00+00:00
49,101,57,0.0,101,2025-09-24 15:20:01+00:00
51,102,57,0.0,102,2025-09-24 15:20:02+00:00
52,104,57,0.0,104,2025-09-24 15:20:03+00:00
49,106,57,0.0,106,2025-09-24 15:20:04+00:00
50,108,57,0.0,108,2025-09-24 15:20:05+00:00
42,111,57,0.0,111,2025-09-24 15:20:06+00:00
41,112,57,0.0,112,2025-09-24 15:20:07+00:00
48,113,57,0.0,113,2025-09-24 15:20:09+00:00
63,114,57,0.0,114,2025-09-24 15:20:14+00:00
68,115,57,0.0,115,2025-09-24 15:20:16+00:00
62,117,57,0.0,117,2025-09-24 15:20:17+00:00
50,119,57,0.0,119,2025-09-24 15:20:18+00:00
23,123,57,0.0,123,2025-09-24 15:20:19+00:00
13,125,57,0.0,125,2025-09-24 15:20:20+00:00
8,126,57,0.0,126,2025-09-24 15:20:21+00:00
3,127,57,0.0,127,2025-09-24 15:20:26+00:00
4,126,57,0.0,126,2025-09-24 15:20:27+00:00
3,127,57,0.0,127,2025-09-24 15:20:28+00:00
3,128,57,0.0,128,2025-09-24 15:20:32+00:00
3,129,57,0.0,129,2025-09-24 15:20:34+00:00
8,128,57,0.0,128,2025-09-24 15:20:37+00:00
3,127,57,0.0,127,2025-09-24 15:20:43+00:00
5,126,57,0.0,126,2025-09-24 15:20:45+00:00
10,125,57,0.0,125,2025-09-24 15:20:47+00:00
31,126,57,0.0,126,2025-09-24 15:20:52+00:00
20,123,57,0.0,123,2025-09-24 15:20:53+00:00
9,121,57,0.0,121,2025-09-24 15:20:54+00:00
3,120,57,0.0,120,2025-09-24 15:20:56+00:00
2,119,57,0.0,119,2025-09-24 15:20:57+00:00
