14,2,category,duration,message_index,repetitions,set_type,start_time,timestamp
0,"[255, None]","['unknown', 'curl']",194.213,0,7,active,2025-08-07 12:23:12+00:00,2025-08-07 12:23:12+00:00
,,,61.728,1,,rest,2025-08-07 12:26:26+00:00,2025-08-07 12:23:12+00:00
1,"[255, None]","['unknown', 'curl']",200.491,2,7,active,2025-08-07 12:27:28+00:00,2025-08-07 12:23:12+00:00
,,,60.555,3,,rest,2025-08-07 12:30:48+00:00,2025-08-07 12:23:12+00:00
2,"[255, None]","['unknown', 'curl']",73.505,4,20,active,2025-08-07 12:31:49+00:00,2025-08-07 12:23:12+00:00
,,,30.428,5,,rest,2025-08-07 12:33:02+00:00,2025-08-07 12:23:12+00:00
3,"[255, None]","['unknown', 'curl']",74.224,6,20,active,2025-08-07 12:33:33+00:00,2025-08-07 12:23:12+00:00
,,,51.548,7,,rest,2025-08-07 12:34:47+00:00,2025-08-07 12:23:12+00:00
4,"[255, None]","['unknown', 'curl']",81.306,8,20,active,2025-08-07 12:35:38+00:00,2025-08-07 12:23:12+00:00
,,,34.318,9,,rest,2025-08-07 12:37:00+00:00,2025-08-07 12:23:12+00:00
5,"[255, None]","['unknown', 'curl']",60.637,10,9,active,2025-08-07 12:37:34+00:00,2025-08-07 12:23:12+00:00
,,,67.911,11,,rest,2025-08-07 12:38:35+00:00,2025-08-07 12:23:12+00:00
6,"[255, None]","['unknown', 'curl']",40.63,12,9,active,2025-08-07 12:39:43+00:00,2025-08-07 12:23:12+00:00
,,,35.441,13,,rest,2025-08-07 12:40:23+00:00,2025-08-07 12:23:12+00:00
7,"[255, None]","['unknown', 'curl']",61.683,14,9,active,2025-08-07 12:40:59+00:00,2025-08-07 12:23:12+00:00
,,,60.331,15,,rest,2025-08-07 12:42:00+00:00,2025-08-07 12:23:12+00:00
8,"[255, 255]","['sit_up', 'crunch']",118.7,16,36,active,2025-08-07 12:43:01+00:00,2025-08-07 12:23:12+00:00
,,,45.23,17,,rest,2025-08-07 12:44:59+00:00,2025-08-07 12:23:12+00:00
9,"[170, 85]","['unknown', 'unknown']",93.642,18,36,active,2025-08-07 12:45:45+00:00,2025-08-07 12:23:12+00:00
,,,45.631,19,,rest,2025-08-07 12:47:18+00:00,2025-08-07 12:23:12+00:00
10,"[255, None]","['unknown', 'curl']",96.699,20,36,active,2025-08-07 12:48:04+00:00,2025-08-07 12:23:12+00:00
,,,10.176,21,,rest,2025-08-07 12:49:41+00:00,2025-08-07 12:23:12+00:00
