135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
7,55,66,23.0,8.0,55,2025-08-27 16:23:35+00:00
4,54,66,23.0,8.0,54,2025-08-27 16:23:36+00:00
4,54,66,23.0,8.0,54,2025-08-27 16:23:37+00:00
4,54,66,23.0,8.0,54,2025-08-27 16:23:38+00:00
8,53,66,23.0,8.0,53,2025-08-27 16:23:39+00:00
8,53,66,23.0,8.0,53,2025-08-27 16:23:40+00:00
8,53,66,23.0,8.0,53,2025-08-27 16:23:41+00:00
8,52,66,23.0,8.0,52,2025-08-27 16:23:42+00:00
7,53,66,23.0,8.0,53,2025-08-27 16:23:43+00:00
7,53,66,23.0,8.0,53,2025-08-27 16:23:44+00:00
7,53,66,22.0,8.0,53,2025-08-27 16:23:45+00:00
7,53,66,22.0,8.0,53,2025-08-27 16:23:46+00:00
7,53,66,22.0,8.0,53,2025-08-27 16:23:47+00:00
7,53,66,22.0,8.0,53,2025-08-27 16:23:48+00:00
7,53,66,22.0,8.0,53,2025-08-27 16:23:49+00:00
3,54,66,19.0,8.0,54,2025-08-27 16:23:50+00:00
3,54,66,19.0,8.0,54,2025-08-27 16:23:51+00:00
10,55,66,19.0,9.0,55,2025-08-27 16:23:52+00:00
10,55,66,19.0,9.0,55,2025-08-27 16:23:53+00:00
23,57,66,19.0,9.0,57,2025-08-27 16:23:54+00:00
24,60,66,19.0,9.0,60,2025-08-27 16:23:55+00:00
24,63,66,19.0,9.0,63,2025-08-27 16:23:56+00:00
22,65,66,19.0,9.0,65,2025-08-27 16:23:57+00:00
12,69,66,19.0,9.0,69,2025-08-27 16:23:58+00:00
9,70,66,19.0,9.0,70,2025-08-27 16:23:59+00:00
6,71,66,20.0,9.0,71,2025-08-27 16:24:00+00:00
6,71,66,20.0,9.0,71,2025-08-27 16:24:01+00:00
6,70,66,20.0,9.0,70,2025-08-27 16:24:02+00:00
6,70,66,20.0,9.0,70,2025-08-27 16:24:03+00:00
13,68,66,20.0,9.0,68,2025-08-27 16:24:04+00:00
4,63,66,20.0,9.0,63,2025-08-27 16:24:05+00:00
3,62,66,20.0,9.0,62,2025-08-27 16:24:06+00:00
2,61,66,20.0,9.0,61,2025-08-27 16:24:07+00:00
1,59,66,20.0,9.0,59,2025-08-27 16:24:08+00:00
1,58,66,20.0,9.0,58,2025-08-27 16:24:09+00:00
1,59,66,21.0,9.0,59,2025-08-27 16:24:10+00:00
1,59,66,21.0,9.0,59,2025-08-27 16:24:11+00:00
1,59,66,21.0,9.0,59,2025-08-27 16:24:12+00:00
3,60,66,21.0,9.0,60,2025-08-27 16:24:13+00:00
5,59,66,21.0,9.0,59,2025-08-27 16:24:14+00:00
4,60,66,22.0,9.0,60,2025-08-27 16:24:15+00:00
4,61,66,22.0,9.0,61,2025-08-27 16:24:16+00:00
4,61,66,22.0,9.0,61,2025-08-27 16:24:17+00:00
7,60,66,22.0,9.0,60,2025-08-27 16:24:18+00:00
