107,135,136,143,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,timestamp
0,21,94,78,58,0.14,1.52,82.60000000000002,2.295,0.5,94,543629498,222655551,2025-05-18 07:16:00+00:00
1,24,94,78,58,0.05,4.77,82.0,1.857,0.5,94,543629721,222655195,2025-05-18 07:16:01+00:00
1,27,93,78,83,0.01,8.66,83.20000000000005,2.249,0.5,93,543630021,222654754,2025-05-18 07:16:04+00:00
1,42,94,78,83,1.99,23.64,85.0,2.37,0.5,94,543631104,222653042,2025-05-18 07:16:09+00:00
1,52,99,78,83,3.48,35.15,85.39999999999998,2.659,0.5,99,543631997,222651806,2025-05-18 07:16:13+00:00
1,52,101,78,83,3.46,37.47,85.79999999999995,2.678,0.5,101,543632147,222651579,2025-05-18 07:16:14+00:00
1,53,105,78,84,0.03,43.41,86.20000000000005,2.771,0.0,105,543632639,222651052,2025-05-18 07:16:16+00:00
1,53,109,78,84,0.01,48.09,86.79999999999995,2.753,0.0,109,543633022,222650533,2025-05-18 07:16:18+00:00
1,49,113,78,84,0.01,53.44,87.0,2.678,0.5,113,543633356,222649866,2025-05-18 07:16:20+00:00
1,43,116,78,83,0.0,55.75,86.79999999999995,2.678,0.5,116,543633356,222649866,2025-05-18 07:16:21+00:00
1,27,119,78,83,3.19,58.41,86.79999999999995,2.669,0.5,119,543633753,222649328,2025-05-18 07:16:22+00:00
1,18,122,78,84,0.01,61.46,86.79999999999995,2.659,0.5,122,543634062,222649024,2025-05-18 07:16:23+00:00
1,16,125,78,84,3.19,66.95,87.20000000000005,2.678,0.0,125,543634489,222648498,2025-05-18 07:16:25+00:00
1,15,128,78,85,3.1,75.49,86.60000000000002,2.781,0.0,128,543635220,222647810,2025-05-18 07:16:28+00:00
1,15,131,78,85,9.84,83.35,86.60000000000002,2.725,0.5,131,543635642,222647272,2025-05-18 07:16:31+00:00
1,13,133,78,86,3.21,95.78,86.79999999999995,2.678,0.0,133,543636756,222645693,2025-05-18 07:16:36+00:00
1,17,136,78,87,3.16,106.16,87.60000000000002,2.659,0.0,136,543637602,222644663,2025-05-18 07:16:40+00:00
1,21,139,78,87,0.05,120.51,87.79999999999995,2.659,0.0,139,543638626,222643547,2025-05-18 07:16:45+00:00
1,21,139,78,86,3.09,123.87,88.0,2.678,0.0,139,543639130,222642962,2025-05-18 07:16:46+00:00
1,24,142,78,86,,133.95,87.60000000000002,2.706,0.0,142,543639874,222641798,2025-05-18 07:16:50+00:00
1,25,143,78,85,0.0,139.97,88.0,2.706,0.5,143,543640276,222641242,2025-05-18 07:16:52+00:00
1,26,144,78,86,655.34,148.42,88.20000000000005,2.715,0.0,144,543640985,222640347,2025-05-18 07:16:55+00:00
1,28,146,78,87,3.07,159.74,88.39999999999998,2.734,0.0,146,543641854,222639148,2025-05-18 07:16:59+00:00
1,28,146,78,88,0.0,169.53,88.79999999999995,2.734,0.0,146,543642605,222638184,2025-05-18 07:17:03+00:00
1,28,147,78,86,3.0,178.99,88.79999999999995,2.715,0.5,147,543643423,222637274,2025-05-18 07:17:06+00:00
1,31,148,78,87,3.17,185.62,89.0,2.715,0.5,148,543643886,222636574,2025-05-18 07:17:09+00:00
1,33,149,78,89,0.05,197.36,90.39999999999998,2.659,0.0,149,543644637,222635531,2025-05-18 07:17:14+00:00
1,36,150,78,87,3.0,206.48,91.20000000000005,2.613,0.5,150,543645461,222634272,2025-05-18 07:17:18+00:00
1,35,152,78,84,0.02,217.83,91.20000000000005,2.547,0.5,152,543646076,222632793,2025-05-18 07:17:23+00:00
1,20,155,78,85,0.0,228.07,91.20000000000005,2.491,0.0,155,543646573,222631344,2025-05-18 07:17:27+00:00
1,20,155,78,85,0.0,230.49,91.39999999999998,2.491,0.0,155,543646627,222631079,2025-05-18 07:17:28+00:00
1,19,157,78,85,0.0,248.44,92.20000000000005,2.501,0.5,157,543647369,222628865,2025-05-18 07:17:35+00:00
1,19,157,78,87,0.04,261.0,92.20000000000005,2.51,0.0,157,543647894,222626720,2025-05-18 07:17:40+00:00
1,22,158,78,86,2.89,277.09,92.0,2.519,0.0,158,543648556,222624471,2025-05-18 07:17:46+00:00
1,18,158,78,87,0.0,289.54,91.60000000000002,2.538,0.0,158,543649043,222623034,2025-05-18 07:17:51+00:00
1,13,158,78,85,0.0,297.18,91.60000000000002,2.529,0.5,158,543649395,222621631,2025-05-18 07:17:54+00:00
1,13,158,78,86,0.0,313.2,93.60000000000002,2.538,0.0,158,543650095,222619804,2025-05-18 07:18:00+00:00
1,18,159,77,87,0.06,326.47,94.0,2.557,0.0,159,543650812,222617631,2025-05-18 07:18:05+00:00
1,18,159,77,87,0.0,334.47,94.0,2.557,0.0,159,543651197,222616543,2025-05-18 07:18:09+00:00
1,19,160,77,87,0.0,346.79,94.0,2.557,0.0,160,543651659,222614795,2025-05-18 07:18:13+00:00
1,11,157,77,86,0.0,355.0,94.79999999999995,2.557,0.0,157,543652015,222613703,2025-05-18 07:18:17+00:00
1,11,157,77,86,46.9,360.57,95.0,2.557,0.0,157,543652261,222613330,2025-05-18 07:18:18+00:00
1,5,157,77,86,0.0,371.18,94.79999999999995,2.585,0.5,157,543652822,222611483,2025-05-18 07:18:22+00:00
1,5,157,77,87,655.26,383.9,95.39999999999998,2.585,0.0,157,543653312,222610028,2025-05-18 07:18:27+00:00
1,9,158,77,86,0.0,392.11,95.0,2.575,0.0,158,543653696,222608554,2025-05-18 07:18:31+00:00
1,9,158,77,87,655.3,407.7,94.79999999999995,2.585,0.5,158,543654331,222606755,2025-05-18 07:18:36+00:00
1,18,159,77,87,45.87,418.25,95.20000000000005,2.594,0.0,159,543654692,222605229,2025-05-18 07:18:40+00:00
1,18,159,77,87,0.0,435.36,95.39999999999998,2.631,0.0,159,543655470,222603009,2025-05-18 07:18:46+00:00
1,16,158,77,87,0.0,445.95,95.0,2.631,0.0,158,543656031,222601105,2025-05-18 07:18:50+00:00
1,10,160,77,86,0.0,465.15,95.39999999999998,2.65,0.5,160,543656723,222598856,2025-05-18 07:18:57+00:00
1,2,160,77,87,0.0,475.12,94.79999999999995,2.65,0.0,160,543657269,222596999,2025-05-18 07:19:02+00:00
1,2,160,77,86,655.31,489.45,94.60000000000002,2.659,0.5,160,543657927,222594998,2025-05-18 07:19:07+00:00
1,2,162,77,88,0.0,500.26,94.20000000000005,2.669,0.5,162,543658375,222593519,2025-05-18 07:19:11+00:00
1,2,162,77,88,0.0,517.17,93.0,2.706,0.0,162,543659039,222591662,2025-05-18 07:19:16+00:00
1,2,162,77,87,655.33,525.08,92.39999999999998,2.706,0.0,162,543659495,222590097,2025-05-18 07:19:20+00:00
1,2,162,77,87,653.57,538.38,92.60000000000002,2.715,0.0,162,543660033,222588623,2025-05-18 07:19:24+00:00
1,3,163,77,86,653.57,546.16,92.39999999999998,2.706,0.0,163,543660340,222587147,2025-05-18 07:19:28+00:00
1,2,164,77,88,0.0,567.89,92.60000000000002,2.715,0.0,164,543661298,222584443,2025-05-18 07:19:35+00:00
1,2,165,77,86,0.0,576.78,92.20000000000005,2.725,0.0,165,543661780,222582956,2025-05-18 07:19:39+00:00
1,2,165,77,87,0.0,593.41,92.39999999999998,2.734,0.5,165,543662483,222580648,2025-05-18 07:19:45+00:00
1,2,165,77,87,1.8,609.3,91.39999999999998,2.743,0.0,165,543663258,222578474,2025-05-18 07:19:51+00:00
1,2,166,77,88,0.0,625.92,91.0,2.725,0.5,166,543663948,222576091,2025-05-18 07:19:56+00:00
1,1,168,77,86,0.0,642.6,92.20000000000005,2.743,0.0,168,543664672,222573741,2025-05-18 07:20:03+00:00
1,1,168,77,87,0.0,656.21,92.0,2.753,0.5,168,543665098,222572241,2025-05-18 07:20:07+00:00
1,2,167,77,88,0.0,667.11,91.79999999999995,2.762,0.5,167,543665423,222570676,2025-05-18 07:20:11+00:00
1,2,167,77,87,0.0,677.01,91.60000000000002,2.743,0.0,167,543665799,222569277,2025-05-18 07:20:15+00:00
1,1,166,77,87,0.0,690.96,92.39999999999998,2.743,0.5,166,543666611,222567014,2025-05-18 07:20:21+00:00
1,1,167,77,88,0.0,709.03,92.79999999999995,2.725,0.0,167,543667440,222564915,2025-05-18 07:20:27+00:00
1,1,167,77,87,0.0,717.67,92.20000000000005,2.725,0.0,167,543667931,222563922,2025-05-18 07:20:30+00:00
1,1,167,77,88,0.0,723.41,92.20000000000005,2.725,0.5,167,543668489,222562816,2025-05-18 07:20:33+00:00
1,1,167,77,87,0.0,742.12,92.20000000000005,2.725,0.0,167,543669482,222560897,2025-05-18 07:20:39+00:00
1,1,167,77,88,0.0,752.86,92.60000000000002,2.725,0.0,167,543670421,222559215,2025-05-18 07:20:44+00:00
1,1,168,77,88,0.0,761.38,92.39999999999998,2.725,0.5,168,543670924,222558184,2025-05-18 07:20:47+00:00
1,1,167,77,87,0.0,779.68,92.79999999999995,2.725,0.0,167,543671908,222556213,2025-05-18 07:20:53+00:00
1,1,167,77,86,0.0,790.5,92.79999999999995,2.715,0.5,167,543672628,222554911,2025-05-18 07:20:57+00:00
1,1,167,76,87,0.0,801.75,92.20000000000005,2.725,0.5,167,543673496,222553260,2025-05-18 07:21:02+00:00
1,1,167,76,87,0.0,812.34,92.79999999999995,2.725,0.0,167,543674186,222551910,2025-05-18 07:21:06+00:00
1,2,167,76,86,0.0,823.55,92.0,2.725,0.0,167,543674897,222550635,2025-05-18 07:21:09+00:00
1,2,167,76,88,0.0,839.7,93.0,2.725,0.0,167,543675864,222549028,2025-05-18 07:21:15+00:00
