133,135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
88,1,63,77,7.0,14.74,63,2025-02-19 12:47:01+00:00
88,1,64,77,7.0,14.74,64,2025-02-19 12:47:02+00:00
88,1,63,77,7.0,14.74,63,2025-02-19 12:47:03+00:00
88,1,63,77,7.0,14.74,63,2025-02-19 12:47:04+00:00
88,1,63,77,8.0,14.63,63,2025-02-19 12:47:05+00:00
88,1,64,77,8.0,14.63,64,2025-02-19 12:47:06+00:00
88,1,63,77,8.0,14.63,63,2025-02-19 12:47:07+00:00
88,1,63,77,8.0,14.63,63,2025-02-19 12:47:08+00:00
88,1,63,77,8.0,14.63,63,2025-02-19 12:47:09+00:00
88,1,63,77,9.0,14.63,63,2025-02-19 12:47:10+00:00
88,1,64,77,9.0,14.57,64,2025-02-19 12:47:11+00:00
88,1,63,77,9.0,14.57,63,2025-02-19 12:47:12+00:00
89,1,63,77,9.0,14.57,63,2025-02-19 12:47:13+00:00
89,1,63,77,9.0,14.57,63,2025-02-19 12:47:14+00:00
89,1,63,77,10.0,14.23,63,2025-02-19 12:47:15+00:00
89,1,63,77,10.0,14.23,63,2025-02-19 12:47:16+00:00
89,1,63,77,10.0,14.23,63,2025-02-19 12:47:17+00:00
89,1,63,77,10.0,14.23,63,2025-02-19 12:47:18+00:00
89,1,62,77,10.0,14.23,62,2025-02-19 12:47:19+00:00
89,1,62,77,11.0,14.12,62,2025-02-19 12:47:20+00:00
89,0,60,77,11.0,14.12,60,2025-02-19 12:47:21+00:00
89,0,60,77,11.0,14.12,60,2025-02-19 12:47:22+00:00
89,0,60,77,11.0,14.12,60,2025-02-19 12:47:23+00:00
89,0,60,77,11.0,14.07,60,2025-02-19 12:47:24+00:00
89,1,59,77,11.0,14.07,59,2025-02-19 12:47:25+00:00
89,1,59,77,11.0,14.07,59,2025-02-19 12:47:26+00:00
89,1,59,77,11.0,14.07,59,2025-02-19 12:47:27+00:00
89,1,59,77,11.0,14.07,59,2025-02-19 12:47:28+00:00
89,1,59,77,11.0,14.01,59,2025-02-19 12:47:29+00:00
89,1,59,77,11.0,14.01,59,2025-02-19 12:47:30+00:00
89,1,59,77,11.0,13.54,59,2025-02-19 12:47:31+00:00
