14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp,weight,weight_display_unit,wkt_step_index
0,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",300.0,0,,active,2025-09-24 15:17:27+00:00,2025-09-24 15:17:27+00:00,0.0,kilogram,0
1,"[255, 255]","['row', 'row']","[45, 45]",256.164,1,12,active,2025-09-24 15:22:27+00:00,2025-09-24 15:17:27+00:00,20.0,kilogram,1
,,,,45.495,2,,rest,2025-09-24 15:26:44+00:00,2025-09-24 15:17:27+00:00,,,2
2,"[255, 255]","['row', 'row']","[45, 45]",51.555,3,12,active,2025-09-24 15:27:29+00:00,2025-09-24 15:17:27+00:00,20.0,kilogram,1
,,,,45.807,4,,rest,2025-09-24 15:28:21+00:00,2025-09-24 15:17:27+00:00,,,2
3,"[255, 255]","['row', 'row']","[45, 45]",53.678,5,12,active,2025-09-24 15:29:06+00:00,2025-09-24 15:17:27+00:00,20.0,kilogram,1
,,,,45.341,6,,rest,2025-09-24 15:30:00+00:00,2025-09-24 15:17:27+00:00,,,2
4,"[255, 255]","['row', 'row']","[45, 45]",46.395,7,12,active,2025-09-24 15:30:45+00:00,2025-09-24 15:17:27+00:00,20.0,kilogram,1
,,,,129.287,8,,rest,2025-09-24 15:31:32+00:00,2025-09-24 15:17:27+00:00,,,2
5,"[255, 255]","['pull_up', 'pull_up']","[13, 13]",106.842,9,12,active,2025-09-24 15:33:41+00:00,2025-09-24 15:17:27+00:00,20.0,kilogram,4
,,,,46.181,10,,rest,2025-09-24 15:35:28+00:00,2025-09-24 15:17:27+00:00,,,5
6,"[255, 255]","['pull_up', 'pull_up']","[13, 13]",61.144,11,12,active,2025-09-24 15:36:14+00:00,2025-09-24 15:17:27+00:00,20.0,kilogram,4
,,,,45.609,12,,rest,2025-09-24 15:37:15+00:00,2025-09-24 15:17:27+00:00,,,5
7,"[255, 255]","['pull_up', 'pull_up']","[13, 13]",64.27,13,12,active,2025-09-24 15:38:01+00:00,2025-09-24 15:17:27+00:00,20.0,kilogram,4
,,,,129.99,14,,rest,2025-09-24 15:39:05+00:00,2025-09-24 15:17:27+00:00,,,5
8,"[255, 255]","['pull_up', 'pull_up']","[13, 13]",52.195,15,12,active,2025-09-24 15:41:15+00:00,2025-09-24 15:17:27+00:00,15.0,kilogram,7
,,,,10.367,16,,rest,2025-09-24 15:42:07+00:00,2025-09-24 15:17:27+00:00,,,8
9,"[255, 255]","['pull_up', 'pull_up']","[13, 13]",65.971,17,12,active,2025-09-24 15:42:18+00:00,2025-09-24 15:17:27+00:00,15.0,kilogram,7
,,,,45.258,18,,rest,2025-09-24 15:43:24+00:00,2025-09-24 15:17:27+00:00,,,8
10,"[255, 255]","['pull_up', 'pull_up']","[13, 13]",70.074,19,12,active,2025-09-24 15:44:09+00:00,2025-09-24 15:17:27+00:00,15.0,kilogram,7
,,,,149.141,20,,rest,2025-09-24 15:45:19+00:00,2025-09-24 15:17:27+00:00,,,8
11,"[255, 255]","['row', 'row']","[13, 13]",89.313,21,12,active,2025-09-24 15:47:48+00:00,2025-09-24 15:17:27+00:00,5.0,kilogram,10
,,,,45.942,22,,rest,2025-09-24 15:49:17+00:00,2025-09-24 15:17:27+00:00,,,11
12,"[255, 255]","['row', 'row']","[13, 13]",79.335,23,12,active,2025-09-24 15:50:03+00:00,2025-09-24 15:17:27+00:00,5.0,kilogram,10
,,,,45.278,24,,rest,2025-09-24 15:51:23+00:00,2025-09-24 15:17:27+00:00,,,11
13,"[255, 255]","['row', 'row']","[13, 13]",76.867,25,12,active,2025-09-24 15:52:08+00:00,2025-09-24 15:17:27+00:00,5.0,kilogram,10
,,,,355.435,26,,rest,2025-09-24 15:53:25+00:00,2025-09-24 15:17:27+00:00,,,11
14,"[255, 255]","['curl', 'curl']","[8, 8]",91.788,27,12,active,2025-09-24 15:59:20+00:00,2025-09-24 15:17:27+00:00,15.0,kilogram,13
,,,,45.619,28,,rest,2025-09-24 16:00:52+00:00,2025-09-24 15:17:27+00:00,,,14
15,"[255, 255]","['curl', 'curl']","[8, 8]",54.071,29,12,active,2025-09-24 16:01:38+00:00,2025-09-24 15:17:27+00:00,15.0,kilogram,13
,,,,45.399,30,,rest,2025-09-24 16:02:32+00:00,2025-09-24 15:17:27+00:00,,,14
16,"[255, 255]","['curl', 'curl']","[8, 8]",45.571,31,12,active,2025-09-24 16:03:17+00:00,2025-09-24 15:17:27+00:00,10.0,kilogram,13
,,,,60.535,32,,rest,2025-09-24 16:04:03+00:00,2025-09-24 15:17:27+00:00,,,14
17,"[255, 255]","['curl', 'curl']","[37, 37]",42.31,33,12,active,2025-09-24 16:05:03+00:00,2025-09-24 15:17:27+00:00,2.5,kilogram,16
,,,,45.273,34,,rest,2025-09-24 16:05:46+00:00,2025-09-24 15:17:27+00:00,,,17
18,"[255, 255]","['curl', 'curl']","[37, 37]",43.496,35,12,active,2025-09-24 16:06:31+00:00,2025-09-24 15:17:27+00:00,2.5,kilogram,16
,,,,45.578,36,,rest,2025-09-24 16:07:14+00:00,2025-09-24 15:17:27+00:00,,,17
19,"[255, 255]","['curl', 'curl']","[37, 37]",42.34,37,12,active,2025-09-24 16:08:00+00:00,2025-09-24 15:17:27+00:00,2.5,kilogram,16
,,,,73.35,38,,rest,2025-09-24 16:08:42+00:00,2025-09-24 15:17:27+00:00,,,17
20,"[255, 255]","['indoor_bike', 'indoor_bike']",,900.0,39,,active,2025-09-24 16:09:56+00:00,2025-09-24 15:17:27+00:00,0.0,kilogram,19
21,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",180.0,40,,active,2025-09-24 16:24:56+00:00,2025-09-24 15:17:27+00:00,0.0,kilogram,20
,,,,1.38,41,,rest,2025-09-24 16:27:56+00:00,2025-09-24 15:17:27+00:00,,,
