107,135,136,143,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,timestamp
0,2,87,65,0,0.0,0.0,85.20000000000005,2.958,0.0,87,543625985,222659779,2025-05-16 15:08:27+00:00
1,2,85,65,0,0.03,7.49,89.0,1.222,0.0,85,543626560,222658973,2025-05-16 15:08:31+00:00
1,3,84,65,81,0.02,20.26,90.20000000000005,3.34,0.0,84,543627618,222657673,2025-05-16 15:08:35+00:00
1,7,89,65,82,0.04,26.06,90.60000000000002,2.995,0.5,89,543628027,222657043,2025-05-16 15:08:37+00:00
1,8,92,65,83,0.04,28.54,90.60000000000002,2.995,0.5,92,543628243,222656829,2025-05-16 15:08:38+00:00
1,10,96,65,84,0.03,34.03,90.60000000000002,2.771,0.5,96,543628667,222656241,2025-05-16 15:08:40+00:00
1,12,100,65,84,0.0,39.08,90.39999999999998,2.734,0.5,100,543629041,222655689,2025-05-16 15:08:42+00:00
1,14,103,65,84,0.0,44.18,90.0,2.603,0.5,103,543629468,222655196,2025-05-16 15:08:44+00:00
1,15,104,65,84,0.0,46.88,89.79999999999995,2.585,0.0,104,543629708,222654988,2025-05-16 15:08:45+00:00
1,17,107,65,84,,53.13,89.60000000000002,2.613,0.0,107,543630213,222654355,2025-05-16 15:08:47+00:00
1,19,109,65,85,0.03,58.46,89.39999999999998,2.753,0.0,109,543630573,222653719,2025-05-16 15:08:49+00:00
1,21,112,65,84,0.03,64.04,89.0,2.753,0.5,112,543631006,222653208,2025-05-16 15:08:51+00:00
1,22,114,65,84,0.03,69.12,89.20000000000005,2.753,0.5,114,543631382,222652672,2025-05-16 15:08:53+00:00
1,23,117,65,84,0.0,77.31,89.39999999999998,2.743,0.0,117,543632003,222651691,2025-05-16 15:08:56+00:00
1,25,120,65,85,0.0,85.76,89.39999999999998,2.734,0.0,120,543632677,222650894,2025-05-16 15:08:59+00:00
1,25,120,65,85,0.0,88.05,89.39999999999998,2.734,0.5,120,543632799,222650645,2025-05-16 15:09:00+00:00
1,27,123,64,84,0.01,96.55,89.39999999999998,2.743,0.5,123,543633610,222649843,2025-05-16 15:09:03+00:00
1,29,126,64,87,0.02,110.74,90.60000000000002,2.771,0.0,126,543634756,222648421,2025-05-16 15:09:08+00:00
1,30,127,64,86,0.02,119.06,90.60000000000002,2.771,0.5,127,543635389,222647571,2025-05-16 15:09:11+00:00
1,32,129,64,85,0.03,129.83,91.60000000000002,2.762,0.0,129,543636200,222646383,2025-05-16 15:09:15+00:00
1,32,131,64,86,0.04,138.26,91.60000000000002,2.743,0.0,131,543636865,222645583,2025-05-16 15:09:18+00:00
1,17,134,64,85,,146.23,91.79999999999995,2.762,0.5,134,543637479,222644840,2025-05-16 15:09:21+00:00
1,13,135,64,85,0.03,149.28,91.79999999999995,2.762,0.5,135,543637771,222644468,2025-05-16 15:09:22+00:00
1,13,136,64,86,0.06,157.35,91.0,2.762,0.0,136,543638317,222643637,2025-05-16 15:09:25+00:00
1,14,137,64,88,0.04,167.86,90.60000000000002,2.753,0.0,137,543639183,222642495,2025-05-16 15:09:29+00:00
1,16,138,64,86,0.04,175.16,89.79999999999995,2.734,0.0,138,543639744,222641767,2025-05-16 15:09:32+00:00
1,16,138,64,86,0.02,184.44,89.60000000000002,2.734,0.0,138,543640531,222640915,2025-05-16 15:09:35+00:00
1,22,140,64,88,0.0,198.62,90.79999999999995,2.762,0.0,140,543641791,222639600,2025-05-16 15:09:40+00:00
1,25,141,64,88,0.0,206.45,91.60000000000002,2.771,0.0,141,543642375,222638850,2025-05-16 15:09:43+00:00
1,28,142,64,87,2.34,217.82,91.79999999999995,2.762,0.0,142,543643303,222637662,2025-05-16 15:09:47+00:00
