107,135,136,143,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,timestamp
0,94,98,67,0,0.0,0.0,84.79999999999995,2.939,0.0,98,543645907,222634478,2025-03-20 13:55:27+00:00
1,98,98,67,0,0.0,1.58,86.79999999999995,0.0,0.0,98,543646024,222634328,2025-03-20 13:55:28+00:00
1,100,99,67,0,0.0,6.03,87.0,1.614,0.0,99,543646281,222633760,2025-03-20 13:55:30+00:00
1,100,99,67,81,655.34,16.35,88.60000000000002,2.529,0.0,99,543646588,222632245,2025-03-20 13:55:34+00:00
1,111,102,67,82,655.34,21.37,89.39999999999998,2.351,0.5,102,543646746,222631501,2025-03-20 13:55:36+00:00
1,105,106,67,83,655.34,26.35,90.0,2.659,0.5,106,543646919,222630845,2025-03-20 13:55:38+00:00
1,90,110,67,83,655.34,31.72,90.60000000000002,2.687,0.5,110,543647140,222630094,2025-03-20 13:55:40+00:00
1,77,112,67,83,655.34,34.28,90.39999999999998,2.603,0.5,112,543647244,222629707,2025-03-20 13:55:41+00:00
1,69,116,67,83,655.34,38.96,90.39999999999998,2.585,0.5,116,543647424,222629099,2025-03-20 13:55:43+00:00
1,64,120,67,83,655.34,43.64,90.20000000000005,2.529,0.5,120,543647696,222628453,2025-03-20 13:55:45+00:00
1,61,123,67,82,655.34,48.8,90.39999999999998,2.454,0.5,123,543647911,222627697,2025-03-20 13:55:47+00:00
1,46,125,67,83,655.34,53.51,91.0,2.445,0.0,125,543648155,222627040,2025-03-20 13:55:49+00:00
1,28,128,67,84,655.34,60.48,91.0,2.435,0.5,128,543648410,222626058,2025-03-20 13:55:52+00:00
1,28,131,67,84,655.34,68.14,91.39999999999998,2.417,0.5,131,543648716,222625009,2025-03-20 13:55:55+00:00
1,28,132,67,84,655.34,70.47,91.20000000000005,2.435,0.5,132,543648817,222624648,2025-03-20 13:55:56+00:00
1,30,134,67,84,655.34,80.82,92.0,2.529,0.5,134,543649288,222623284,2025-03-20 13:56:00+00:00
1,30,137,67,83,655.34,91.24,92.0,2.519,0.0,137,543649830,222621835,2025-03-20 13:56:04+00:00
1,32,139,67,85,0.0,98.57,92.0,2.519,0.0,139,543650204,222620880,2025-03-20 13:56:07+00:00
1,31,140,67,84,0.0,107.06,91.60000000000002,2.473,0.5,140,543650602,222619660,2025-03-20 13:56:11+00:00
1,29,141,67,84,0.0,117.64,91.60000000000002,2.473,0.5,141,543651112,222618310,2025-03-20 13:56:15+00:00
1,30,142,67,83,0.0,128.11,91.79999999999995,2.482,0.5,142,543651653,222616822,2025-03-20 13:56:19+00:00
1,29,143,67,84,0.0,138.37,91.20000000000005,2.51,0.5,143,543652049,222615481,2025-03-20 13:56:23+00:00
1,31,144,67,84,0.0,145.76,90.60000000000002,2.51,0.5,144,543652409,222614412,2025-03-20 13:56:26+00:00
1,33,145,67,84,0.0,156.03,90.39999999999998,2.51,0.5,145,543652925,222613094,2025-03-20 13:56:30+00:00
1,33,145,67,83,0.0,166.15,89.79999999999995,2.51,0.5,145,543653347,222611632,2025-03-20 13:56:34+00:00
1,33,145,67,84,29.94,179.01,89.39999999999998,2.51,0.5,145,543653951,222609789,2025-03-20 13:56:39+00:00
1,35,146,67,84,31.87,189.74,89.39999999999998,2.529,0.0,146,543654265,222608330,2025-03-20 13:56:43+00:00
1,35,146,67,84,31.97,196.98,90.0,2.538,0.5,146,543654609,222607258,2025-03-20 13:56:46+00:00
1,39,147,67,84,33.41,206.76,90.0,2.529,0.0,147,543654954,222605929,2025-03-20 13:56:50+00:00
1,42,148,67,87,31.71,214.08,89.79999999999995,2.519,0.5,148,543655355,222604867,2025-03-20 13:56:53+00:00
1,44,149,67,84,0.0,225.18,89.79999999999995,2.547,0.5,149,543655789,222603415,2025-03-20 13:56:57+00:00
1,44,149,67,86,30.22,232.71,89.79999999999995,2.575,0.0,149,543656135,222602312,2025-03-20 13:57:00+00:00
1,49,151,67,85,33.41,245.42,89.79999999999995,2.557,0.0,151,543656714,222600525,2025-03-20 13:57:05+00:00
1,48,152,67,85,29.43,255.61,89.20000000000005,2.557,0.5,152,543657062,222599161,2025-03-20 13:57:09+00:00
1,49,153,67,85,29.88,263.62,89.39999999999998,2.557,0.5,153,543657395,222597985,2025-03-20 13:57:12+00:00
1,51,154,67,84,34.49,273.13,90.0,2.547,0.5,154,543657782,222596703,2025-03-20 13:57:16+00:00
1,51,154,67,84,33.05,282.81,90.0,2.529,0.5,154,543658217,222595254,2025-03-20 13:57:20+00:00
1,54,155,67,86,33.83,290.92,90.20000000000005,2.529,0.0,155,543658527,222594197,2025-03-20 13:57:23+00:00
1,54,155,67,86,29.82,298.83,90.0,2.547,0.0,155,543658901,222593061,2025-03-20 13:57:26+00:00
1,55,156,67,86,34.22,308.96,90.60000000000002,2.547,0.0,156,543659393,222591753,2025-03-20 13:57:30+00:00
1,52,157,67,86,28.39,316.91,90.39999999999998,2.547,0.5,157,543659721,222590578,2025-03-20 13:57:33+00:00
1,48,158,67,84,32.65,326.64,90.39999999999998,2.547,0.0,158,543660153,222589193,2025-03-20 13:57:37+00:00
1,51,158,67,85,32.32,337.71,90.20000000000005,2.566,0.5,158,543660670,222587682,2025-03-20 13:57:41+00:00
1,51,158,67,84,27.3,344.99,90.0,2.575,0.0,158,543661011,222586776,2025-03-20 13:57:44+00:00
1,49,159,67,84,35.87,354.0,90.20000000000005,2.557,0.5,159,543661479,222585485,2025-03-20 13:57:48+00:00
1,50,159,67,85,20.54,364.01,89.39999999999998,2.529,0.0,159,543661915,222584160,2025-03-20 13:57:52+00:00
1,49,160,67,86,19.86,371.66,89.0,2.529,0.0,160,543662222,222583009,2025-03-20 13:57:55+00:00
1,49,160,67,85,22.25,381.33,88.79999999999995,2.51,0.5,160,543662582,222581638,2025-03-20 13:57:59+00:00
1,51,160,67,85,20.71,389.91,88.39999999999998,2.529,0.0,160,543662960,222580400,2025-03-20 13:58:02+00:00
1,51,160,67,85,18.33,400.31,88.20000000000005,2.547,0.5,160,543663331,222579012,2025-03-20 13:58:06+00:00
1,52,159,67,85,35.43,412.14,88.60000000000002,2.529,0.0,159,543663804,222577333,2025-03-20 13:58:11+00:00
1,49,159,67,85,20.48,422.59,88.79999999999995,2.519,0.0,159,543664243,222575759,2025-03-20 13:58:15+00:00
1,51,159,67,85,20.18,434.13,89.0,2.538,0.5,159,543664689,222574192,2025-03-20 13:58:19+00:00
1,53,159,67,84,19.4,444.81,89.39999999999998,2.566,0.5,159,543665172,222572762,2025-03-20 13:58:23+00:00
1,53,159,67,85,18.62,452.8,88.79999999999995,2.585,0.0,159,543665587,222571662,2025-03-20 13:58:26+00:00
1,53,159,67,84,19.12,462.51,89.39999999999998,2.585,0.5,159,543665990,222570363,2025-03-20 13:58:30+00:00
1,53,159,67,84,19.86,472.32,89.60000000000002,2.547,0.0,159,543666521,222568959,2025-03-20 13:58:34+00:00
1,50,160,67,85,21.59,479.43,89.20000000000005,2.538,0.5,160,543666798,222567971,2025-03-20 13:58:37+00:00
1,50,160,67,84,19.99,489.45,89.60000000000002,2.538,0.0,160,543667271,222566572,2025-03-20 13:58:41+00:00
