107,135,136,143,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,timestamp
0,2,96,89,57,0.0,0.0,106.39999999999998,1.176,0.0,96,543624743,222662395,2025-06-17 05:01:16+00:00
1,7,96,89,57,0.0,12.56,102.0,1.185,0.0,96,543625894,222660636,2025-06-17 05:01:17+00:00
1,7,96,89,57,655.3,24.65,93.60000000000002,2.706,0.0,96,543626375,222659142,2025-06-17 05:01:19+00:00
1,6,101,89,88,0.0,38.58,90.20000000000005,4.469,0.0,101,543627269,222657801,2025-06-17 05:01:22+00:00
1,2,100,89,86,0.01,42.51,89.60000000000002,4.469,0.5,100,543627519,222657405,2025-06-17 05:01:23+00:00
1,2,104,89,86,0.0,48.01,88.20000000000005,3.788,0.0,104,543627916,222656829,2025-06-17 05:01:25+00:00
1,3,107,89,86,,50.72,88.39999999999998,3.788,0.0,107,543628155,222656533,2025-06-17 05:01:26+00:00
1,4,110,89,86,,53.25,88.39999999999998,3.144,0.0,110,543628287,222656229,2025-06-17 05:01:27+00:00
1,6,114,89,87,0.0,58.52,88.60000000000002,3.042,0.0,114,543628743,222655731,2025-06-17 05:01:29+00:00
1,7,115,89,87,655.34,61.2,89.0,2.921,0.0,115,543628983,222655433,2025-06-17 05:01:30+00:00
1,9,118,89,87,655.34,67.13,89.39999999999998,2.771,0.0,118,543629477,222654849,2025-06-17 05:01:32+00:00
1,9,120,89,87,0.0,72.71,89.20000000000005,2.958,0.0,120,543629890,222654300,2025-06-17 05:01:34+00:00
1,5,123,89,86,0.0,78.25,89.20000000000005,2.921,0.5,123,543630274,222653671,2025-06-17 05:01:36+00:00
1,6,125,89,86,0.0,83.44,89.20000000000005,2.855,0.5,125,543630744,222653210,2025-06-17 05:01:38+00:00
1,7,128,89,86,0.0,91.96,89.20000000000005,2.762,0.0,128,543631426,222652317,2025-06-17 05:01:41+00:00
1,6,129,89,86,0.0,94.99,89.39999999999998,2.771,0.0,129,543631718,222652069,2025-06-17 05:01:42+00:00
1,2,133,89,87,0.0,103.79,89.60000000000002,2.799,0.0,133,543632311,222651088,2025-06-17 05:01:45+00:00
1,2,134,89,87,0.0,106.81,89.79999999999995,2.827,0.0,134,543632581,222650732,2025-06-17 05:01:46+00:00
1,1,136,89,87,0.0,114.97,89.79999999999995,2.837,0.5,136,543633220,222649951,2025-06-17 05:01:49+00:00
1,1,136,89,87,0.0,126.07,89.79999999999995,2.837,0.5,136,543634112,222648879,2025-06-17 05:01:53+00:00
