107,135,136,143,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,timestamp
1,5,82,58,831.78,90.60000000000002,4.889,82,543618118,222746087,2025-06-19 13:55:31+00:00
1,1,86,58,841.25,90.0,4.983,86,543617688,222747419,2025-06-19 13:55:33+00:00
1,0,89,58,861.31,90.20000000000005,5.001,89,543616704,222750120,2025-06-19 13:55:37+00:00
1,0,90,58,876.0,90.20000000000005,5.011,90,543615993,222752154,2025-06-19 13:55:40+00:00
1,1,91,58,931.62,90.20000000000005,4.824,91,543613711,222759958,2025-06-19 13:55:51+00:00
1,1,89,58,963.67,89.60000000000002,4.684,89,543612377,222764490,2025-06-19 13:55:58+00:00
1,1,89,58,1010.63,89.39999999999998,4.264,89,543610373,222771091,2025-06-19 13:56:08+00:00
1,3,91,58,1055.92,90.20000000000005,4.796,91,543608577,222777507,2025-06-19 13:56:18+00:00
1,2,88,58,1075.34,90.0,4.899,88,543607794,222780285,2025-06-19 13:56:22+00:00
1,0,87,58,1110.05,90.0,5.011,87,543606402,222785164,2025-06-19 13:56:29+00:00
1,0,91,58,1124.54,90.39999999999998,5.132,91,543605797,222787254,2025-06-19 13:56:32+00:00
1,0,88,58,1160.92,91.0,5.104,88,543604371,222792393,2025-06-19 13:56:39+00:00
1,0,87,58,1165.9,90.39999999999998,5.057,87,543604158,222793102,2025-06-19 13:56:40+00:00
1,1,86,58,1227.08,90.60000000000002,5.207,86,543601899,222801876,2025-06-19 13:56:52+00:00
1,0,87,58,1276.68,89.60000000000002,5.617,87,543600162,222809061,2025-06-19 13:57:01+00:00
1,0,90,58,1299.12,89.39999999999998,5.449,90,543599401,222812293,2025-06-19 13:57:05+00:00
1,0,94,58,1309.79,89.79999999999995,5.235,94,543599014,222813829,2025-06-19 13:57:07+00:00
1,0,94,58,1335.47,90.79999999999995,5.151,94,543598110,222817523,2025-06-19 13:57:12+00:00
1,0,91,58,1361.61,91.0,5.011,91,543597184,222821290,2025-06-19 13:57:17+00:00
1,1,89,58,1385.5,90.60000000000002,4.591,89,543596326,222824736,2025-06-19 13:57:22+00:00
1,1,89,58,1415.13,90.79999999999995,3.648,89,543595703,222829194,2025-06-19 13:57:29+00:00
1,1,87,58,1428.49,90.39999999999998,2.995,87,543595082,222830858,2025-06-19 13:57:33+00:00
1,1,87,58,1431.87,90.0,3.312,87,543594726,222830754,2025-06-19 13:57:34+00:00
1,5,88,58,1455.61,88.79999999999995,4.385,88,543592359,222829418,2025-06-19 13:57:40+00:00
1,4,85,58,1486.83,89.20000000000005,4.451,85,543589138,222828142,2025-06-19 13:57:47+00:00
1,2,82,58,1504.6,89.0,4.124,82,543587227,222827896,2025-06-19 13:57:51+00:00
1,0,82,58,1512.82,88.39999999999998,4.124,82,543586417,222828416,2025-06-19 13:57:53+00:00
1,1,82,58,1524.92,88.60000000000002,4.311,82,543586086,222830228,2025-06-19 13:57:56+00:00
1,1,82,58,1565.54,89.60000000000002,4.6,82,543584855,222836169,2025-06-19 13:58:05+00:00
1,1,85,58,1579.74,90.0,4.712,85,543584382,222838220,2025-06-19 13:58:08+00:00
1,1,85,58,1593.67,90.0,4.703,85,543583824,222840192,2025-06-19 13:58:11+00:00
1,0,85,58,1634.66,91.0,4.488,85,543582988,222846347,2025-06-19 13:58:20+00:00
1,1,85,58,1667.72,90.60000000000002,4.665,85,543582339,222851296,2025-06-19 13:58:27+00:00
1,1,86,58,1721.22,90.20000000000005,4.917,86,543581323,222859337,2025-06-19 13:58:38+00:00
1,1,89,58,1746.06,90.39999999999998,4.973,89,543580945,222863076,2025-06-19 13:58:43+00:00
1,1,90,58,1765.84,89.79999999999995,5.02,90,543580546,222866075,2025-06-19 13:58:47+00:00
1,1,87,58,1809.95,90.60000000000002,4.945,87,543579880,222872730,2025-06-19 13:58:56+00:00
1,1,87,58,1814.83,90.60000000000002,4.936,87,543579808,222873471,2025-06-19 13:58:57+00:00
1,1,84,57,1857.76,91.20000000000005,4.273,84,543579492,222880007,2025-06-19 13:59:06+00:00
1,1,82,57,1871.08,92.20000000000005,3.471,82,543578876,222881796,2025-06-19 13:59:10+00:00
1,2,79,57,1881.52,92.79999999999995,3.443,79,543578814,222883376,2025-06-19 13:59:13+00:00
1,2,78,57,1888.51,93.39999999999998,3.378,78,543578794,222884429,2025-06-19 13:59:15+00:00
1,2,82,57,1899.54,93.39999999999998,3.956,82,543578756,222886139,2025-06-19 13:59:18+00:00
1,8,86,57,1920.35,92.39999999999998,4.003,86,543578561,222889314,2025-06-19 13:59:23+00:00
1,6,90,57,1924.22,92.39999999999998,3.9,90,543578565,222889942,2025-06-19 13:59:24+00:00
1,6,93,57,1932.86,92.39999999999998,3.938,93,543578617,222891252,2025-06-19 13:59:26+00:00
1,3,96,57,1941.93,91.60000000000002,4.161,96,543578651,222892583,2025-06-19 13:59:28+00:00
1,1,97,57,1954.37,91.0,4.329,97,543578703,222894485,2025-06-19 13:59:31+00:00
1,2,95,57,1994.7,91.20000000000005,4.497,95,543578788,222900664,2025-06-19 13:59:40+00:00
1,1,93,57,2037.88,90.60000000000002,4.591,93,543579439,222907157,2025-06-19 13:59:49+00:00
1,0,93,57,2070.71,90.60000000000002,4.74,93,543579994,222912141,2025-06-19 13:59:56+00:00
1,1,92,57,2109.58,90.0,4.6,92,543580586,222918033,2025-06-19 14:00:04+00:00
1,2,90,57,2142.12,90.39999999999998,4.357,90,543581195,222922890,2025-06-19 14:00:11+00:00
1,1,90,57,2162.4,90.39999999999998,4.124,90,543582362,222925425,2025-06-19 14:00:16+00:00
1,4,88,57,2176.44,91.0,3.34,88,543583862,222925849,2025-06-19 14:00:20+00:00
1,5,89,57,2193.41,94.20000000000005,2.445,89,543585696,222925816,2025-06-19 14:00:26+00:00
1,11,96,57,2207.06,94.39999999999998,2.79,96,543587147,222925655,2025-06-19 14:00:31+00:00
1,9,101,57,2209.68,94.79999999999995,2.818,101,543587444,222925611,2025-06-19 14:00:32+00:00
1,10,102,57,2224.38,95.20000000000005,2.314,102,543588997,222925387,2025-06-19 14:00:38+00:00
1,23,101,57,2236.02,95.39999999999998,2.482,101,543590225,222925181,2025-06-19 14:00:43+00:00
1,24,104,57,2241.83,95.79999999999995,2.874,104,543590832,222925109,2025-06-19 14:00:45+00:00
1,23,107,57,2249.65,95.60000000000002,2.622,107,543591689,222925007,2025-06-19 14:00:48+00:00
1,19,111,57,2252.37,95.60000000000002,2.529,111,543591978,222924969,2025-06-19 14:00:49+00:00
1,16,116,57,2257.27,95.60000000000002,2.314,116,543592498,222924948,2025-06-19 14:00:51+00:00
1,11,119,57,2259.65,95.79999999999995,2.155,119,543592741,222924973,2025-06-19 14:00:52+00:00
1,6,123,57,2261.66,95.60000000000002,1.913,123,543592953,222924972,2025-06-19 14:00:53+00:00
1,2,125,57,2265.43,95.60000000000002,1.801,125,543593358,222924921,2025-06-19 14:00:55+00:00
1,2,121,57,2276.48,97.20000000000005,2.062,121,543594526,222924952,2025-06-19 14:01:00+00:00
1,1,117,57,2280.3,97.20000000000005,1.978,117,543594927,222924859,2025-06-19 14:01:02+00:00
1,1,115,57,2281.7,98.0,1.568,115,543595049,222924944,2025-06-19 14:01:03+00:00
1,1,113,57,2292.21,99.0,2.118,113,543596199,222924719,2025-06-19 14:01:08+00:00
1,8,110,57,2308.26,96.39999999999998,2.669,110,543597909,222924363,2025-06-19 14:01:14+00:00
1,7,108,57,2311.45,96.39999999999998,3.051,108,543598249,222924299,2025-06-19 14:01:15+00:00
1,14,105,57,2322.6,95.60000000000002,4.18,105,543599434,222924288,2025-06-19 14:01:18+00:00
1,15,102,57,2330.81,95.60000000000002,4.161,102,543600317,222924223,2025-06-19 14:01:20+00:00
1,15,99,57,2334.93,95.20000000000005,4.255,99,543600778,222924199,2025-06-19 14:01:21+00:00
1,20,95,57,2360.54,93.0,3.704,95,543603474,222923831,2025-06-19 14:01:27+00:00
1,18,94,57,2363.84,92.39999999999998,3.396,94,543603833,222923824,2025-06-19 14:01:28+00:00
1,13,91,57,2366.8,92.0,3.098,91,543604172,222923785,2025-06-19 14:01:29+00:00
1,9,90,57,2375.65,91.0,0.495,90,543605128,222923528,2025-06-19 14:01:33+00:00
1,25,88,57,2379.58,91.60000000000002,0.933,88,543605467,222923758,2025-06-19 14:01:36+00:00
1,30,87,57,2382.43,92.20000000000005,1.67,87,543605675,222924110,2025-06-19 14:01:38+00:00
1,30,87,57,2384.18,92.0,1.81,87,543605899,222924186,2025-06-19 14:01:39+00:00
1,28,85,57,2388.85,91.39999999999998,2.071,85,543606335,222923839,2025-06-19 14:01:41+00:00
1,28,85,57,2390.71,91.39999999999998,2.025,85,543606396,222923544,2025-06-19 14:01:42+00:00
1,32,86,57,2406.43,91.39999999999998,3.564,86,543606216,222921190,2025-06-19 14:01:48+00:00
1,46,86,57,2427.16,91.60000000000002,5.664,86,543605773,222917830,2025-06-19 14:01:53+00:00
1,46,86,57,2445.0,91.79999999999995,5.906,86,543605715,222915238,2025-06-19 14:01:56+00:00
1,63,83,57,2457.34,89.0,5.309,83,543605730,222913318,2025-06-19 14:01:58+00:00
1,53,79,57,2463.64,88.60000000000002,5.365,79,543605741,222912334,2025-06-19 14:01:59+00:00
1,41,74,57,2476.08,88.20000000000005,5.02,74,543605801,222910530,2025-06-19 14:02:01+00:00
1,29,71,57,2481.78,88.0,4.917,71,543605847,222909670,2025-06-19 14:02:02+00:00
1,18,68,57,2491.89,87.60000000000002,4.516,68,543605956,222908143,2025-06-19 14:02:04+00:00
1,18,68,57,2501.54,86.79999999999995,4.255,68,543606003,222906697,2025-06-19 14:02:06+00:00
1,16,68,57,2513.58,87.20000000000005,3.77,68,543606039,222904901,2025-06-19 14:02:09+00:00
1,17,67,57,2534.25,86.20000000000005,4.124,67,543606387,222901735,2025-06-19 14:02:14+00:00
1,43,70,57,2565.78,86.60000000000002,4.497,70,543606626,222896966,2025-06-19 14:02:21+00:00
1,34,75,57,2575.22,86.60000000000002,4.525,75,543606734,222895558,2025-06-19 14:02:23+00:00
1,26,78,57,2579.39,86.60000000000002,4.469,78,543606826,222894908,2025-06-19 14:02:24+00:00
1,5,81,57,2583.48,87.20000000000005,4.236,81,543606918,222894295,2025-06-19 14:02:25+00:00
1,1,84,57,2605.16,88.20000000000005,4.227,84,543607301,222891050,2025-06-19 14:02:30+00:00
1,1,87,57,2630.98,88.20000000000005,4.115,87,543607770,222887137,2025-06-19 14:02:36+00:00
1,1,88,57,2635.21,88.60000000000002,4.096,88,543607850,222886498,2025-06-19 14:02:37+00:00
1,1,91,57,2660.48,89.20000000000005,4.329,91,543608326,222882719,2025-06-19 14:02:43+00:00
1,1,93,57,2673.63,88.60000000000002,4.311,93,543608604,222880768,2025-06-19 14:02:46+00:00
1,1,96,57,2707.45,89.0,4.18,96,543609382,222875747,2025-06-19 14:02:54+00:00
1,1,96,57,2715.51,88.60000000000002,4.357,96,543609575,222874506,2025-06-19 14:02:56+00:00
1,1,97,57,2750.96,88.0,4.301,97,543610356,222869197,2025-06-19 14:03:04+00:00
1,1,100,57,2786.63,88.60000000000002,4.563,100,543611243,222863884,2025-06-19 14:03:12+00:00
1,0,103,57,2813.38,88.20000000000005,4.376,103,543611935,222859964,2025-06-19 14:03:18+00:00
1,0,105,57,2826.19,87.39999999999998,4.46,105,543612243,222858039,2025-06-19 14:03:21+00:00
1,1,104,57,2871.59,87.0,4.563,104,543613495,222851327,2025-06-19 14:03:31+00:00
1,1,104,57,2907.04,87.39999999999998,4.451,104,543614567,222846126,2025-06-19 14:03:39+00:00
1,1,102,57,2947.73,87.39999999999998,4.441,102,543615940,222840285,2025-06-19 14:03:48+00:00
1,0,101,57,2988.99,86.39999999999998,4.581,101,543617271,222834217,2025-06-19 14:03:57+00:00
1,1,102,57,3039.33,88.0,4.637,102,543618993,222826931,2025-06-19 14:04:08+00:00
1,1,105,57,3067.13,87.60000000000002,4.609,105,543619952,222822917,2025-06-19 14:04:14+00:00
1,1,106,57,3085.62,88.20000000000005,4.693,106,543620605,222820266,2025-06-19 14:04:18+00:00
1,0,107,57,3138.44,88.0,4.777,107,543622507,222812631,2025-06-19 14:04:29+00:00
1,0,106,57,3180.87,87.20000000000005,4.656,106,543624118,222806531,2025-06-19 14:04:38+00:00
1,1,106,57,3217.52,85.79999999999995,4.451,106,543625524,222801337,2025-06-19 14:04:46+00:00
1,1,106,57,3250.77,88.20000000000005,4.824,106,543626821,222796604,2025-06-19 14:04:53+00:00
1,1,108,57,3301.41,89.0,4.936,108,543628448,222789242,2025-06-19 14:05:03+00:00
1,1,106,57,3344.29,87.20000000000005,4.796,106,543630034,222783102,2025-06-19 14:05:12+00:00
1,1,104,57,3392.85,89.20000000000005,4.88,104,543631737,222776086,2025-06-19 14:05:22+00:00
1,1,107,57,3433.07,88.0,4.861,107,543633414,222770415,2025-06-19 14:05:30+00:00
1,1,107,57,3447.99,88.60000000000002,4.852,107,543634039,222768333,2025-06-19 14:05:33+00:00
1,1,109,57,3501.24,88.39999999999998,4.936,109,543636138,222760749,2025-06-19 14:05:44+00:00
1,1,109,57,3551.51,89.39999999999998,5.02,109,543638121,222753593,2025-06-19 14:05:54+00:00
1,1,112,57,3586.51,90.39999999999998,4.983,112,543639494,222748664,2025-06-19 14:06:01+00:00
