135,136,143,cadence,cycle_length16,distance,enhanced_speed,fractional_cadence,heart_rate,timestamp
0,105,61,0,0.0,0.0,0.0,0.0,105,2025-06-02 15:12:39+00:00
1,110,61,0,0.0,0.0,0.0,0.0,110,2025-06-02 15:12:47+00:00
1,113,61,0,0.0,0.0,0.0,0.0,113,2025-06-02 15:12:49+00:00
1,116,61,0,0.0,0.0,0.0,0.0,116,2025-06-02 15:12:58+00:00
0,113,61,0,0.0,0.0,0.0,0.0,113,2025-06-02 15:13:07+00:00
1,110,61,0,0.0,0.0,0.0,0.0,110,2025-06-02 15:13:14+00:00
2,107,61,0,0.0,0.0,0.0,0.0,107,2025-06-02 15:13:23+00:00
0,110,61,0,0.0,0.0,0.0,0.0,110,2025-06-02 15:13:43+00:00
1,113,61,0,0.0,0.0,0.0,0.0,113,2025-06-02 15:13:51+00:00
1,116,61,0,0.0,0.0,0.0,0.0,116,2025-06-02 15:13:59+00:00
1,113,61,0,0.0,0.0,0.0,0.0,113,2025-06-02 15:14:05+00:00
1,110,61,0,0.0,0.0,0.0,0.0,110,2025-06-02 15:14:08+00:00
2,107,61,0,0.0,0.0,0.0,0.0,107,2025-06-02 15:14:18+00:00
2,104,61,0,0.0,0.0,0.0,0.0,104,2025-06-02 15:14:29+00:00
2,107,61,0,0.0,0.0,0.0,0.0,107,2025-06-02 15:14:38+00:00
2,110,61,0,0.0,0.0,0.0,0.0,110,2025-06-02 15:14:44+00:00
2,113,61,0,0.0,0.0,0.0,0.0,113,2025-06-02 15:14:49+00:00
1,116,61,0,0.0,0.0,0.0,0.0,116,2025-06-02 15:14:50+00:00
1,119,61,0,0.0,0.0,0.0,0.0,119,2025-06-02 15:14:58+00:00
0,116,61,0,0.0,0.0,0.0,0.0,116,2025-06-02 15:15:07+00:00
0,113,61,0,0.0,0.0,0.0,0.0,113,2025-06-02 15:15:09+00:00
2,110,61,0,0.0,0.0,0.0,0.0,110,2025-06-02 15:15:17+00:00
2,107,61,0,0.0,0.0,0.0,0.0,107,2025-06-02 15:15:23+00:00
0,110,61,0,0.0,0.0,0.0,0.0,110,2025-06-02 15:15:50+00:00
1,113,61,0,0.0,0.0,0.0,0.0,113,2025-06-02 15:15:55+00:00
1,116,61,0,0.0,0.0,0.0,0.0,116,2025-06-02 15:16:55+00:00
1,119,61,0,0.0,0.0,0.0,0.0,119,2025-06-02 15:16:58+00:00
1,116,61,0,0.0,0.0,0.0,0.0,116,2025-06-02 15:17:13+00:00
1,113,61,0,0.0,0.0,0.0,0.0,113,2025-06-02 15:17:18+00:00
1,116,61,0,0.0,0.0,0.0,0.0,116,2025-06-02 15:17:45+00:00
2,119,61,0,0.0,0.0,0.0,0.0,119,2025-06-02 15:17:52+00:00
2,122,60,0,0.0,0.0,0.0,0.0,122,2025-06-02 15:18:17+00:00
2,125,60,0,0.0,0.0,0.0,0.0,125,2025-06-02 15:18:24+00:00
2,128,60,0,0.0,0.0,0.0,0.0,128,2025-06-02 15:18:33+00:00
1,131,60,0,0.0,0.0,0.0,0.0,131,2025-06-02 15:18:49+00:00
1,128,60,0,0.0,0.0,0.0,0.0,128,2025-06-02 15:19:08+00:00
1,125,60,0,0.0,0.0,0.0,0.0,125,2025-06-02 15:19:38+00:00
1,128,60,0,0.0,0.0,0.0,0.0,128,2025-06-02 15:19:45+00:00
0,131,60,0,0.0,0.0,0.0,0.0,131,2025-06-02 15:19:50+00:00
2,134,60,0,0.0,0.0,0.0,0.0,134,2025-06-02 15:21:45+00:00
2,131,60,0,0.0,0.0,0.0,0.0,131,2025-06-02 15:22:47+00:00
2,128,59,0,0.0,0.0,0.0,0.0,128,2025-06-02 15:23:24+00:00
1,132,59,0,0.0,0.0,0.0,0.0,132,2025-06-02 15:23:29+00:00
2,135,59,0,0.0,0.0,0.0,0.0,135,2025-06-02 15:23:38+00:00
0,132,59,0,0.0,0.0,0.0,0.0,132,2025-06-02 15:23:48+00:00
0,129,59,0,0.0,0.0,0.0,0.0,129,2025-06-02 15:23:53+00:00
2,132,59,0,0.0,0.0,0.0,0.0,132,2025-06-02 15:24:56+00:00
2,129,59,0,0.0,0.0,0.0,0.0,129,2025-06-02 15:25:18+00:00
2,126,59,0,0.0,0.0,0.0,0.0,126,2025-06-02 15:25:40+00:00
2,126,59,0,0.0,0.0,0.0,0.0,126,2025-06-02 15:25:43+00:00
