107,135,136,143,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,timestamp
0,7,86,70,0,655.3,0.0,88.79999999999995,1.39,0.0,86,543625352,222660655,2025-07-28 13:04:13+00:00
1,2,86,70,0,655.28,0.0,87.79999999999995,0.0,0.0,86,543625265,222660687,2025-07-28 13:04:14+00:00
1,1,87,70,0,655.3,4.16,86.60000000000002,2.099,0.0,87,543625524,222660140,2025-07-28 13:04:17+00:00
1,4,91,70,82,655.33,17.69,86.79999999999995,2.239,0.5,91,543626542,222658685,2025-07-28 13:04:22+00:00
1,6,95,70,84,655.33,23.4,86.60000000000002,2.874,0.5,95,543626992,222658150,2025-07-28 13:04:24+00:00
1,7,97,70,84,655.33,26.33,86.20000000000005,2.986,0.5,97,543627292,222657861,2025-07-28 13:04:25+00:00
1,7,101,70,84,655.33,31.65,86.39999999999998,2.939,0.5,101,543627702,222657306,2025-07-28 13:04:27+00:00
1,8,105,70,84,655.33,36.73,86.39999999999998,2.594,0.0,105,543628065,222656819,2025-07-28 13:04:29+00:00
1,9,109,70,85,655.33,42.12,86.79999999999995,2.743,0.5,109,543628576,222656403,2025-07-28 13:04:31+00:00
1,10,110,70,85,655.34,45.05,86.79999999999995,2.743,0.5,110,543628840,222656093,2025-07-28 13:04:32+00:00
1,10,113,70,84,655.34,49.65,86.39999999999998,2.706,0.5,113,543629200,222655625,2025-07-28 13:04:34+00:00
1,9,116,70,85,655.34,54.76,86.39999999999998,2.603,0.0,116,543629623,222655186,2025-07-28 13:04:36+00:00
1,4,118,70,85,655.34,62.81,85.79999999999995,2.613,0.5,118,543630285,222654301,2025-07-28 13:04:39+00:00
1,1,121,70,84,655.32,71.48,86.20000000000005,2.631,0.0,121,543631024,222653423,2025-07-28 13:04:42+00:00
1,1,122,70,84,,73.77,86.60000000000002,2.641,0.0,122,543631149,222653180,2025-07-28 13:04:43+00:00
1,1,125,70,86,0.0,85.63,87.20000000000005,2.706,0.0,125,543632117,222651959,2025-07-28 13:04:47+00:00
1,1,126,70,83,,93.52,86.79999999999995,2.715,0.5,126,543632718,222651173,2025-07-28 13:04:50+00:00
1,1,127,70,84,655.33,102.09,86.79999999999995,2.715,0.5,127,543633368,222650385,2025-07-28 13:04:53+00:00
1,1,128,70,83,655.34,109.58,86.79999999999995,2.734,0.5,128,543633978,222649552,2025-07-28 13:04:56+00:00
1,1,129,70,85,0.0,118.27,87.0,2.715,0.5,129,543634734,222648669,2025-07-28 13:04:59+00:00
1,0,130,69,85,,126.11,87.79999999999995,2.734,0.0,130,543635337,222647892,2025-07-28 13:05:02+00:00
1,0,131,69,86,,137.24,87.60000000000002,2.725,0.0,131,543636249,222646738,2025-07-28 13:05:06+00:00
1,0,132,69,85,,148.87,87.60000000000002,2.734,0.0,132,543637071,222645484,2025-07-28 13:05:10+00:00
1,1,133,69,85,,157.32,87.79999999999995,2.753,0.5,133,543637788,222644729,2025-07-28 13:05:13+00:00
1,1,136,69,85,,166.88,88.20000000000005,2.734,0.0,136,543638516,222643736,2025-07-28 13:05:17+00:00
1,1,137,69,84,,175.46,87.60000000000002,2.734,0.5,137,543639176,222642764,2025-07-28 13:05:20+00:00
1,1,138,69,85,,185.86,87.60000000000002,2.734,0.5,138,543640038,222641793,2025-07-28 13:05:24+00:00
1,0,140,69,84,,197.25,87.39999999999998,2.734,0.0,140,543640950,222640631,2025-07-28 13:05:28+00:00
1,1,141,69,86,,204.87,87.60000000000002,2.734,0.0,141,543641529,222639887,2025-07-28 13:05:31+00:00
1,1,142,69,86,,215.51,87.79999999999995,2.725,0.0,142,543642471,222638862,2025-07-28 13:05:35+00:00
1,1,143,69,86,,226.41,88.20000000000005,2.715,0.5,143,543643326,222637745,2025-07-28 13:05:39+00:00
1,1,143,69,84,,236.57,88.79999999999995,2.715,0.5,143,543644105,222636772,2025-07-28 13:05:43+00:00
1,1,144,69,84,,244.04,89.0,2.706,0.5,144,543644767,222635972,2025-07-28 13:05:46+00:00
1,2,146,69,85,,254.01,88.79999999999995,2.678,0.0,146,543645430,222634784,2025-07-28 13:05:50+00:00
1,1,147,69,84,,264.55,88.39999999999998,2.678,0.0,147,543646060,222633432,2025-07-28 13:05:54+00:00
1,1,149,69,85,,275.53,89.0,2.65,0.5,149,543646527,222631865,2025-07-28 13:05:58+00:00
1,1,149,69,83,,286.84,89.39999999999998,2.659,0.5,149,543646995,222630319,2025-07-28 13:06:02+00:00
1,1,149,69,84,,297.98,89.60000000000002,2.687,0.5,149,543647565,222628813,2025-07-28 13:06:06+00:00
1,2,148,69,85,,305.08,89.60000000000002,2.678,0.0,148,543647779,222627811,2025-07-28 13:06:09+00:00
1,2,148,69,85,,313.98,89.39999999999998,2.669,0.5,148,543648195,222626600,2025-07-28 13:06:12+00:00
1,1,148,69,87,,324.23,89.79999999999995,2.687,0.0,148,543648542,222625119,2025-07-28 13:06:16+00:00
1,1,149,69,87,,332.59,90.0,2.678,0.0,149,543648964,222623979,2025-07-28 13:06:19+00:00
1,1,149,69,87,,343.21,90.79999999999995,2.687,0.0,149,543649354,222622467,2025-07-28 13:06:23+00:00
1,5,150,69,86,,352.65,91.0,2.697,0.5,150,543649812,222621180,2025-07-28 13:06:26+00:00
1,5,150,69,85,,363.45,90.60000000000002,2.725,0.0,150,543650245,222619644,2025-07-28 13:06:30+00:00
1,5,151,69,85,,375.0,90.20000000000005,2.725,0.0,151,543650767,222618031,2025-07-28 13:06:34+00:00
1,5,151,69,86,,383.13,90.39999999999998,2.734,0.5,151,543651007,222616907,2025-07-28 13:06:37+00:00
