135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
42,69,81,14.0,18.0,69,2025-07-01 05:11:00+00:00
42,69,81,14.0,18.0,69,2025-07-01 05:11:01+00:00
42,69,81,14.0,18.0,69,2025-07-01 05:11:02+00:00
23,68,81,14.0,18.0,68,2025-07-01 05:11:03+00:00
25,69,81,14.0,18.0,69,2025-07-01 05:11:04+00:00
27,68,81,15.0,18.0,68,2025-07-01 05:11:05+00:00
27,68,81,15.0,17.0,68,2025-07-01 05:11:06+00:00
27,68,81,15.0,17.0,68,2025-07-01 05:11:07+00:00
13,67,81,15.0,17.0,67,2025-07-01 05:11:08+00:00
13,67,81,15.0,17.0,67,2025-07-01 05:11:09+00:00
13,67,81,16.0,17.0,67,2025-07-01 05:11:10+00:00
13,67,81,16.0,17.0,67,2025-07-01 05:11:11+00:00
4,68,81,16.0,16.0,68,2025-07-01 05:11:12+00:00
4,69,81,16.0,16.0,69,2025-07-01 05:11:13+00:00
3,71,81,16.0,16.0,71,2025-07-01 05:11:14+00:00
3,72,81,20.0,16.0,72,2025-07-01 05:11:15+00:00
1,76,81,20.0,16.0,76,2025-07-01 05:11:16+00:00
1,77,81,20.0,16.0,77,2025-07-01 05:11:17+00:00
1,78,81,20.0,16.0,78,2025-07-01 05:11:18+00:00
2,79,81,20.0,15.0,79,2025-07-01 05:11:19+00:00
1,80,81,24.0,15.0,80,2025-07-01 05:11:20+00:00
1,80,81,24.0,15.0,80,2025-07-01 05:11:21+00:00
1,80,81,24.0,14.0,80,2025-07-01 05:11:22+00:00
1,80,81,24.0,14.0,80,2025-07-01 05:11:23+00:00
1,80,81,24.0,14.0,80,2025-07-01 05:11:24+00:00
1,78,81,35.0,14.0,78,2025-07-01 05:11:25+00:00
1,78,81,35.0,14.0,78,2025-07-01 05:11:26+00:00
1,78,81,35.0,14.0,78,2025-07-01 05:11:27+00:00
1,76,81,35.0,14.0,76,2025-07-01 05:11:28+00:00
1,75,81,35.0,14.0,75,2025-07-01 05:11:29+00:00
1,74,81,41.0,14.0,74,2025-07-01 05:11:30+00:00
1,72,81,41.0,14.0,72,2025-07-01 05:11:31+00:00
1,71,81,41.0,13.0,71,2025-07-01 05:11:32+00:00
1,71,81,41.0,13.0,71,2025-07-01 05:11:33+00:00
1,71,81,41.0,13.0,71,2025-07-01 05:11:34+00:00
2,72,81,48.0,13.0,72,2025-07-01 05:11:35+00:00
2,72,81,48.0,13.0,72,2025-07-01 05:11:36+00:00
1,73,81,48.0,13.0,73,2025-07-01 05:11:37+00:00
1,73,81,48.0,13.0,73,2025-07-01 05:11:38+00:00
1,72,81,48.0,13.0,72,2025-07-01 05:11:39+00:00
1,72,81,51.0,13.0,72,2025-07-01 05:11:40+00:00
1,71,81,51.0,13.0,71,2025-07-01 05:11:41+00:00
1,70,81,51.0,13.0,70,2025-07-01 05:11:42+00:00
1,69,81,51.0,13.0,69,2025-07-01 05:11:43+00:00
0,68,81,51.0,13.0,68,2025-07-01 05:11:44+00:00
0,68,81,49.0,13.0,68,2025-07-01 05:11:45+00:00
0,69,81,49.0,13.0,69,2025-07-01 05:11:46+00:00
0,69,81,49.0,13.0,69,2025-07-01 05:11:47+00:00
0,71,81,49.0,13.0,71,2025-07-01 05:11:48+00:00
0,71,81,49.0,13.0,71,2025-07-01 05:11:49+00:00
0,71,81,45.0,13.0,71,2025-07-01 05:11:50+00:00
0,71,81,45.0,13.0,71,2025-07-01 05:11:51+00:00
1,70,81,45.0,13.0,70,2025-07-01 05:11:52+00:00
1,70,81,45.0,13.0,70,2025-07-01 05:11:53+00:00
1,69,81,45.0,13.0,69,2025-07-01 05:11:54+00:00
0,67,81,39.0,13.0,67,2025-07-01 05:11:55+00:00
0,66,81,39.0,13.0,66,2025-07-01 05:11:56+00:00
0,65,81,39.0,13.0,65,2025-07-01 05:11:57+00:00
0,65,81,39.0,13.0,65,2025-07-01 05:11:58+00:00
0,65,81,39.0,13.0,65,2025-07-01 05:11:59+00:00
1,66,81,38.0,13.0,66,2025-07-01 05:12:00+00:00
1,66,81,38.0,13.0,66,2025-07-01 05:12:01+00:00
0,68,81,38.0,13.0,68,2025-07-01 05:12:02+00:00
0,68,81,38.0,13.0,68,2025-07-01 05:12:03+00:00
0,68,81,38.0,14.0,68,2025-07-01 05:12:04+00:00
0,68,81,34.0,14.0,68,2025-07-01 05:12:05+00:00
0,69,81,34.0,14.0,69,2025-07-01 05:12:06+00:00
0,69,81,34.0,14.0,69,2025-07-01 05:12:07+00:00
0,69,81,34.0,14.0,69,2025-07-01 05:12:08+00:00
0,70,81,34.0,14.0,70,2025-07-01 05:12:09+00:00
0,70,81,33.0,14.0,70,2025-07-01 05:12:10+00:00
0,71,81,33.0,15.0,71,2025-07-01 05:12:11+00:00
0,71,81,33.0,15.0,71,2025-07-01 05:12:12+00:00
0,71,81,33.0,15.0,71,2025-07-01 05:12:13+00:00
0,72,81,33.0,15.0,72,2025-07-01 05:12:14+00:00
0,72,81,28.0,15.0,72,2025-07-01 05:12:15+00:00
0,72,81,28.0,15.0,72,2025-07-01 05:12:16+00:00
0,72,81,28.0,15.0,72,2025-07-01 05:12:17+00:00
0,72,81,28.0,15.0,72,2025-07-01 05:12:18+00:00
0,72,81,28.0,15.0,72,2025-07-01 05:12:19+00:00
0,72,81,24.0,15.0,72,2025-07-01 05:12:20+00:00
1,71,81,24.0,16.0,71,2025-07-01 05:12:21+00:00
1,72,81,24.0,16.0,72,2025-07-01 05:12:22+00:00
1,71,81,24.0,16.0,71,2025-07-01 05:12:23+00:00
1,71,81,24.0,16.0,71,2025-07-01 05:12:24+00:00
1,71,81,23.0,17.0,71,2025-07-01 05:12:25+00:00
1,71,81,23.0,17.0,71,2025-07-01 05:12:26+00:00
1,71,81,23.0,17.0,71,2025-07-01 05:12:27+00:00
1,71,81,23.0,17.0,71,2025-07-01 05:12:28+00:00
1,71,81,23.0,17.0,71,2025-07-01 05:12:29+00:00
1,71,81,23.0,17.0,71,2025-07-01 05:12:30+00:00
2,70,81,23.0,17.0,70,2025-07-01 05:12:31+00:00
2,71,81,23.0,17.0,71,2025-07-01 05:12:32+00:00
2,71,81,23.0,17.0,71,2025-07-01 05:12:33+00:00
2,71,81,23.0,17.0,71,2025-07-01 05:12:34+00:00
1,70,81,22.0,17.0,70,2025-07-01 05:12:35+00:00
1,70,81,22.0,17.0,70,2025-07-01 05:12:36+00:00
1,69,81,22.0,17.0,69,2025-07-01 05:12:37+00:00
1,69,81,22.0,17.0,69,2025-07-01 05:12:38+00:00
1,69,81,22.0,17.0,69,2025-07-01 05:12:39+00:00
1,69,81,21.0,17.0,69,2025-07-01 05:12:40+00:00
1,69,81,21.0,17.0,69,2025-07-01 05:12:41+00:00
1,70,81,21.0,17.0,70,2025-07-01 05:12:42+00:00
0,72,81,21.0,17.0,72,2025-07-01 05:12:43+00:00
0,74,81,21.0,17.0,74,2025-07-01 05:12:44+00:00
0,75,81,21.0,16.0,75,2025-07-01 05:12:45+00:00
0,75,81,21.0,16.0,75,2025-07-01 05:12:46+00:00
0,75,81,21.0,16.0,75,2025-07-01 05:12:47+00:00
0,75,81,21.0,16.0,75,2025-07-01 05:12:48+00:00
0,75,81,21.0,16.0,75,2025-07-01 05:12:49+00:00
0,76,81,21.0,16.0,76,2025-07-01 05:12:50+00:00
0,75,81,21.0,16.0,75,2025-07-01 05:12:51+00:00
0,76,81,21.0,16.0,76,2025-07-01 05:12:52+00:00
0,76,81,21.0,16.0,76,2025-07-01 05:12:53+00:00
0,76,81,21.0,16.0,76,2025-07-01 05:12:54+00:00
0,76,81,21.0,16.0,76,2025-07-01 05:12:55+00:00
0,76,81,21.0,16.0,76,2025-07-01 05:12:56+00:00
0,76,81,21.0,15.0,76,2025-07-01 05:12:57+00:00
0,75,81,21.0,15.0,75,2025-07-01 05:12:58+00:00
0,75,81,21.0,15.0,75,2025-07-01 05:12:59+00:00
0,75,81,19.0,15.0,75,2025-07-01 05:13:00+00:00
