107,135,136,143,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,timestamp
0,2,86,96,0,0.0,0.0,89.0,0.709,0.0,86,543622358,222665433,2025-08-12 04:51:10+00:00
1,1,86,96,0,654.56,0.67,89.0,0.0,0.0,86,543622375,222665483,2025-08-12 04:51:11+00:00
1,3,87,96,0,0.02,7.4,89.39999999999998,1.512,0.0,87,543622916,222666203,2025-08-12 04:51:14+00:00
1,7,88,96,80,0.01,17.58,90.0,2.445,0.5,88,543623764,222667220,2025-08-12 04:51:18+00:00
1,6,91,96,81,0.02,20.15,90.20000000000005,2.445,0.5,91,543623938,222667440,2025-08-12 04:51:19+00:00
1,5,94,96,81,0.02,22.76,90.60000000000002,2.547,0.5,94,543624188,222667763,2025-08-12 04:51:20+00:00
1,1,97,96,81,0.02,25.56,90.60000000000002,2.547,0.5,97,543624409,222667967,2025-08-12 04:51:21+00:00
1,1,98,96,81,0.3,28.07,90.60000000000002,2.557,0.5,98,543624647,222668166,2025-08-12 04:51:22+00:00
1,2,101,96,82,0.02,36.22,90.20000000000005,2.613,0.5,101,543625317,222669042,2025-08-12 04:51:25+00:00
1,3,103,96,84,0.02,38.87,90.0,2.659,0.0,103,543625559,222669250,2025-08-12 04:51:26+00:00
1,4,106,96,84,0.02,44.22,89.39999999999998,2.687,0.5,106,543625950,222669791,2025-08-12 04:51:28+00:00
1,1,110,96,83,0.02,49.18,89.60000000000002,2.678,0.5,110,543626382,222670297,2025-08-12 04:51:30+00:00
1,1,111,96,83,0.02,51.9,89.79999999999995,2.631,0.5,111,543626641,222670411,2025-08-12 04:51:31+00:00
1,1,111,96,83,0.02,60.74,88.39999999999998,2.669,0.5,111,543627396,222671285,2025-08-12 04:51:34+00:00
1,0,112,96,86,0.02,71.33,88.60000000000002,2.715,0.0,112,543628327,222672201,2025-08-12 04:51:38+00:00
1,1,116,96,84,0.02,79.01,88.60000000000002,2.706,0.5,116,543628942,222672966,2025-08-12 04:51:41+00:00
1,1,118,96,84,0.02,82.13,88.79999999999995,2.65,0.5,118,543629207,222673366,2025-08-12 04:51:42+00:00
1,0,121,96,83,0.02,87.54,89.0,2.706,0.5,121,543629530,222673987,2025-08-12 04:51:44+00:00
1,0,122,96,86,0.02,90.27,89.39999999999998,2.743,0.0,122,543629749,222674274,2025-08-12 04:51:45+00:00
1,0,125,96,86,0.02,101.23,90.60000000000002,2.725,0.5,125,543630650,222675337,2025-08-12 04:51:49+00:00
1,0,127,96,86,0.02,103.8,90.79999999999995,2.725,0.5,127,543630828,222675579,2025-08-12 04:51:50+00:00
1,1,129,96,84,0.02,114.84,91.60000000000002,2.753,0.0,129,543631612,222676815,2025-08-12 04:51:54+00:00
1,1,131,96,84,0.02,124.25,92.0,2.687,0.5,131,543632346,222677730,2025-08-12 04:51:58+00:00
