135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
1,60,75,18.0,16.0,60,2025-09-19 11:08:53+00:00
1,61,75,18.0,16.0,61,2025-09-19 11:08:54+00:00
1,61,75,20.0,16.0,61,2025-09-19 11:08:55+00:00
1,60,75,20.0,16.0,60,2025-09-19 11:08:56+00:00
1,60,75,20.0,16.0,60,2025-09-19 11:08:57+00:00
1,60,75,20.0,16.0,60,2025-09-19 11:08:58+00:00
1,59,75,20.0,16.0,59,2025-09-19 11:08:59+00:00
0,56,75,19.0,16.0,56,2025-09-19 11:09:00+00:00
0,56,75,19.0,16.0,56,2025-09-19 11:09:01+00:00
0,56,75,19.0,16.0,56,2025-09-19 11:09:02+00:00
0,57,75,19.0,16.0,57,2025-09-19 11:09:03+00:00
0,58,75,19.0,16.0,58,2025-09-19 11:09:04+00:00
0,58,75,19.0,16.0,58,2025-09-19 11:09:05+00:00
1,60,75,19.0,16.0,60,2025-09-19 11:09:06+00:00
0,61,75,19.0,16.0,61,2025-09-19 11:09:07+00:00
0,61,75,19.0,16.0,61,2025-09-19 11:09:08+00:00
0,62,75,19.0,16.0,62,2025-09-19 11:09:09+00:00
0,61,75,18.0,16.0,61,2025-09-19 11:09:10+00:00
0,60,75,18.0,16.0,60,2025-09-19 11:09:11+00:00
0,60,75,18.0,16.0,60,2025-09-19 11:09:12+00:00
0,60,75,18.0,16.0,60,2025-09-19 11:09:13+00:00
0,61,75,18.0,16.0,61,2025-09-19 11:09:14+00:00
0,61,75,20.0,16.0,61,2025-09-19 11:09:15+00:00
0,62,75,20.0,16.0,62,2025-09-19 11:09:16+00:00
0,62,75,20.0,16.0,62,2025-09-19 11:09:17+00:00
0,62,75,20.0,16.0,62,2025-09-19 11:09:18+00:00
13,64,75,20.0,16.0,64,2025-09-19 11:09:19+00:00
6,67,75,21.0,16.0,67,2025-09-19 11:09:20+00:00
3,71,75,21.0,16.0,71,2025-09-19 11:09:21+00:00
