107,135,136,143,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,timestamp
0,3,79,65,0,0.0,0.0,-22.399999999999977,1.549,0.0,79,543642730,222660995,2025-07-10 17:28:04+00:00
1,4,79,65,0,0.0,0.19,-20.80000000000001,0.0,0.0,79,543639126,222661085,2025-07-10 17:28:05+00:00
1,4,80,65,0,0.0,1.92,-29.19999999999999,3.648,0.0,80,543637810,222660132,2025-07-10 17:28:08+00:00
1,18,83,65,80,655.32,6.69,-26.600000000000023,2.911,0.5,83,543637645,222659082,2025-07-10 17:28:11+00:00
1,18,86,65,81,655.32,9.41,-23.600000000000023,2.911,0.5,86,543637637,222658630,2025-07-10 17:28:12+00:00
1,18,89,65,81,655.32,11.87,-22.0,3.378,0.5,89,543637732,222658263,2025-07-10 17:28:13+00:00
1,20,94,65,83,0.78,11.87,-10.800000000000011,2.939,0.5,94,543637099,222658231,2025-07-10 17:28:15+00:00
1,21,97,65,83,0.0,11.87,-4.600000000000023,2.939,0.5,97,543636726,222658432,2025-07-10 17:28:16+00:00
1,21,100,65,83,0.0,11.87,4.199999999999989,3.387,0.5,100,543636207,222658567,2025-07-10 17:28:17+00:00
1,23,104,65,83,0.0,11.87,13.399999999999977,4.217,0.5,104,543635703,222658498,2025-07-10 17:28:19+00:00
1,24,107,65,84,0.0,11.87,18.200000000000045,4.217,0.0,107,543635411,222658287,2025-07-10 17:28:20+00:00
1,24,110,65,84,0.0,11.87,19.600000000000023,4.824,0.0,110,543635302,222658091,2025-07-10 17:28:21+00:00
1,26,115,65,84,655.32,11.87,25.0,3.947,0.0,115,543634972,222657715,2025-07-10 17:28:23+00:00
1,26,117,65,84,655.32,11.87,26.200000000000045,3.163,0.5,117,543634888,222657492,2025-07-10 17:28:24+00:00
1,25,120,65,84,655.32,14.28,30.799999999999955,2.771,0.5,120,543634740,222656989,2025-07-10 17:28:26+00:00
1,15,123,65,85,655.32,15.6,41.39999999999998,2.538,0.0,123,543634647,222656274,2025-07-10 17:28:29+00:00
1,2,125,65,85,655.32,27.57,46.200000000000045,2.846,0.0,125,543635237,222654515,2025-07-10 17:28:33+00:00
1,2,128,65,85,655.32,35.09,49.60000000000002,2.818,0.5,128,543635610,222653506,2025-07-10 17:28:36+00:00
