135,136,143,distance,heart_rate,timestamp
176,75,57,0.0,75,2025-09-11 15:48:25+00:00
176,75,57,0.0,75,2025-09-11 15:48:26+00:00
176,74,57,0.0,74,2025-09-11 15:48:27+00:00
176,76,57,0.0,76,2025-09-11 15:48:28+00:00
149,77,57,0.0,77,2025-09-11 15:48:29+00:00
125,78,57,0.0,78,2025-09-11 15:48:30+00:00
96,77,57,0.0,77,2025-09-11 15:48:31+00:00
59,72,57,0.0,72,2025-09-11 15:48:32+00:00
50,70,57,0.0,70,2025-09-11 15:48:33+00:00
48,77,57,0.0,77,2025-09-11 15:48:35+00:00
39,84,57,0.0,84,2025-09-11 15:48:36+00:00
31,89,57,0.0,89,2025-09-11 15:48:37+00:00
38,90,57,0.0,90,2025-09-11 15:48:38+00:00
41,92,57,0.0,92,2025-09-11 15:48:39+00:00
44,93,57,0.0,93,2025-09-11 15:48:40+00:00
46,94,57,0.0,94,2025-09-11 15:48:41+00:00
46,93,57,0.0,93,2025-09-11 15:48:42+00:00
41,90,57,0.0,90,2025-09-11 15:48:43+00:00
18,84,57,0.0,84,2025-09-11 15:48:44+00:00
21,83,57,0.0,83,2025-09-11 15:48:45+00:00
22,82,57,0.0,82,2025-09-11 15:48:47+00:00
33,76,57,0.0,76,2025-09-11 15:48:54+00:00
27,71,57,0.0,71,2025-09-11 15:48:55+00:00
20,67,57,0.0,67,2025-09-11 15:48:56+00:00
13,64,57,0.0,64,2025-09-11 15:48:57+00:00
14,63,57,0.0,63,2025-09-11 15:48:58+00:00
9,62,57,0.0,62,2025-09-11 15:49:00+00:00
16,63,57,0.0,63,2025-09-11 15:49:04+00:00
37,64,57,0.0,64,2025-09-11 15:49:08+00:00
65,65,57,0.0,65,2025-09-11 15:49:12+00:00
76,66,57,0.0,66,2025-09-11 15:49:14+00:00
78,67,57,0.0,67,2025-09-11 15:49:15+00:00
61,71,57,0.0,71,2025-09-11 15:49:16+00:00
63,72,57,0.0,72,2025-09-11 15:49:17+00:00
61,73,57,0.0,73,2025-09-11 15:49:18+00:00
50,75,57,0.0,75,2025-09-11 15:49:19+00:00
54,76,57,0.0,76,2025-09-11 15:49:20+00:00
61,78,57,0.0,78,2025-09-11 15:49:22+00:00
48,81,57,0.0,81,2025-09-11 15:49:23+00:00
41,84,57,0.0,84,2025-09-11 15:49:24+00:00
41,84,57,0.0,84,2025-09-11 15:49:25+00:00
45,85,57,0.0,85,2025-09-11 15:49:26+00:00
49,86,57,0.0,86,2025-09-11 15:49:27+00:00
55,87,57,0.0,87,2025-09-11 15:49:28+00:00
60,86,57,0.0,86,2025-09-11 15:49:29+00:00
46,87,57,0.0,87,2025-09-11 15:49:30+00:00
59,88,57,0.0,88,2025-09-11 15:49:33+00:00
43,89,57,0.0,89,2025-09-11 15:49:34+00:00
26,90,57,0.0,90,2025-09-11 15:49:35+00:00
8,91,57,0.0,91,2025-09-11 15:49:37+00:00
6,92,57,0.0,92,2025-09-11 15:49:38+00:00
3,93,57,0.0,93,2025-09-11 15:49:47+00:00
7,92,57,0.0,92,2025-09-11 15:49:48+00:00
5,93,57,0.0,93,2025-09-11 15:49:49+00:00
22,94,57,0.0,94,2025-09-11 15:49:52+00:00
11,92,57,0.0,92,2025-09-11 15:49:54+00:00
5,91,57,0.0,91,2025-09-11 15:49:55+00:00
0,90,57,0.0,90,2025-09-11 15:49:57+00:00
0,89,57,0.0,89,2025-09-11 15:50:01+00:00
0,88,57,0.0,88,2025-09-11 15:50:02+00:00
1,85,57,0.0,85,2025-09-11 15:50:03+00:00
0,82,57,0.0,82,2025-09-11 15:50:04+00:00
0,80,57,0.0,80,2025-09-11 15:50:05+00:00
0,79,57,0.0,79,2025-09-11 15:50:08+00:00
1,80,57,0.0,80,2025-09-11 15:50:09+00:00
1,81,57,0.0,81,2025-09-11 15:50:10+00:00
0,82,57,0.0,82,2025-09-11 15:50:12+00:00
0,81,57,0.0,81,2025-09-11 15:50:15+00:00
0,82,57,0.0,82,2025-09-11 15:50:19+00:00
0,83,57,0.0,83,2025-09-11 15:50:22+00:00
1,82,57,0.0,82,2025-09-11 15:50:26+00:00
1,83,57,0.0,83,2025-09-11 15:50:31+00:00
1,82,57,0.0,82,2025-09-11 15:50:35+00:00
1,81,57,0.0,81,2025-09-11 15:50:36+00:00
1,80,57,0.0,80,2025-09-11 15:50:38+00:00
1,81,57,0.0,81,2025-09-11 15:50:39+00:00
1,80,57,0.0,80,2025-09-11 15:50:42+00:00
5,79,57,0.0,79,2025-09-11 15:50:43+00:00
10,78,57,0.0,78,2025-09-11 15:50:44+00:00
8,77,57,0.0,77,2025-09-11 15:50:46+00:00
4,72,57,0.0,72,2025-09-11 15:50:47+00:00
1,71,57,0.0,71,2025-09-11 15:50:48+00:00
0,72,57,0.0,72,2025-09-11 15:50:49+00:00
12,73,57,0.0,73,2025-09-11 15:50:53+00:00
19,74,57,0.0,74,2025-09-11 15:50:54+00:00
31,75,57,0.0,75,2025-09-11 15:50:57+00:00
26,78,57,0.0,78,2025-09-11 15:50:58+00:00
21,80,57,0.0,80,2025-09-11 15:50:59+00:00
6,83,57,0.0,83,2025-09-11 15:51:00+00:00
6,83,57,0.0,83,2025-09-11 15:51:01+00:00
18,82,57,0.0,82,2025-09-11 15:51:02+00:00
24,81,57,0.0,81,2025-09-11 15:51:03+00:00
16,78,57,0.0,78,2025-09-11 15:51:04+00:00
4,77,57,0.0,77,2025-09-11 15:51:05+00:00
2,76,57,0.0,76,2025-09-11 15:51:06+00:00
0,77,57,0.0,77,2025-09-11 15:51:08+00:00
0,78,57,0.0,78,2025-09-11 15:51:10+00:00
0,79,57,0.0,79,2025-09-11 15:51:13+00:00
0,79,57,0.0,79,2025-09-11 15:51:15+00:00
0,78,57,0.0,78,2025-09-11 15:51:17+00:00
1,79,57,0.0,79,2025-09-11 15:51:19+00:00
8,78,57,0.0,78,2025-09-11 15:51:20+00:00
10,69,57,0.0,69,2025-09-11 15:51:21+00:00
