107,135,136,143,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,timestamp
0,7,83,60,7.02,96.79999999999995,5.095,83,543611868,222668557,2025-06-15 14:27:58+00:00
1,7,83,60,13.41,96.20000000000005,5.897,83,543612574,222668458,2025-06-15 14:27:59+00:00
1,6,82,60,31.09,91.60000000000002,5.757,82,543614341,222667857,2025-06-15 14:28:02+00:00
1,6,82,60,31.09,91.60000000000002,5.757,82,543614341,222667857,2025-06-15 14:28:03+00:00
1,5,83,60,67.81,92.20000000000005,6.625,83,543618218,222666542,2025-06-15 14:28:08+00:00
1,5,79,60,80.66,91.60000000000002,6.186,79,543619570,222666022,2025-06-15 14:28:10+00:00
1,3,75,60,92.85,91.20000000000005,5.542,75,543620836,222665555,2025-06-15 14:28:12+00:00
1,2,74,60,98.25,91.0,5.636,74,543621431,222665747,2025-06-15 14:28:13+00:00
1,2,71,60,109.06,91.39999999999998,5.244,71,543622351,222666724,2025-06-15 14:28:15+00:00
1,2,69,60,114.32,91.39999999999998,5.179,69,543622789,222667218,2025-06-15 14:28:16+00:00
1,5,75,60,150.44,91.60000000000002,5.263,75,543625743,222670849,2025-06-15 14:28:23+00:00
1,3,78,60,155.45,92.0,4.992,78,543626138,222671364,2025-06-15 14:28:24+00:00
1,8,81,60,175.53,92.0,4.889,81,543627790,222673312,2025-06-15 14:28:28+00:00
1,6,85,60,185.55,91.79999999999995,5.02,85,543628621,222674315,2025-06-15 14:28:30+00:00
1,1,88,60,195.43,92.0,4.852,88,543629378,222675336,2025-06-15 14:28:32+00:00
1,3,89,60,219.66,93.60000000000002,3.079,89,543631243,222677933,2025-06-15 14:28:38+00:00
1,11,92,60,239.12,93.20000000000005,2.771,92,543633099,222679279,2025-06-15 14:28:45+00:00
1,4,94,60,255.78,93.20000000000005,3.564,94,543634070,222681483,2025-06-15 14:28:50+00:00
1,3,93,60,269.42,92.79999999999995,2.986,93,543633723,222683506,2025-06-15 14:28:54+00:00
1,1,97,60,293.17,92.60000000000002,3.611,97,543632711,222686824,2025-06-15 14:29:01+00:00
1,0,100,60,306.82,92.39999999999998,3.508,100,543632140,222688756,2025-06-15 14:29:05+00:00
1,0,100,60,326.21,94.20000000000005,4.068,100,543631430,222691511,2025-06-15 14:29:10+00:00
1,0,97,60,338.01,93.0,4.199,97,543630937,222693203,2025-06-15 14:29:13+00:00
1,1,96,60,362.66,92.39999999999998,3.91,96,543629986,222696704,2025-06-15 14:29:19+00:00
1,1,93,60,389.7,91.60000000000002,3.984,93,543628776,222700503,2025-06-15 14:29:26+00:00
1,1,92,60,394.14,91.60000000000002,3.975,92,543628593,222701105,2025-06-15 14:29:27+00:00
1,1,94,60,421.91,90.39999999999998,3.508,94,543627109,222704716,2025-06-15 14:29:34+00:00
