14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp,weight,weight_display_unit,wkt_step_index
0,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",420.0,0,,active,2025-09-22 15:16:00+00:00,2025-09-22 15:16:00+00:00,0.0,kilogram,0
1,"[255, 255]","['hip_raise', 'hip_raise']","[1, 1]",492.352,1,12,active,2025-09-22 15:23:00+00:00,2025-09-22 15:16:00+00:00,45.0,kilogram,1
,,,,60.594,2,,rest,2025-09-22 15:31:12+00:00,2025-09-22 15:16:00+00:00,,,2
2,"[255, 255]","['hip_raise', 'hip_raise']","[1, 1]",56.384,3,12,active,2025-09-22 15:32:13+00:00,2025-09-22 15:16:00+00:00,45.0,kilogram,1
,,,,60.491,4,,rest,2025-09-22 15:33:09+00:00,2025-09-22 15:16:00+00:00,,,2
3,"[255, 255]","['hip_raise', 'hip_raise']","[1, 1]",59.404,5,12,active,2025-09-22 15:34:10+00:00,2025-09-22 15:16:00+00:00,45.0,kilogram,1
,,,,60.413,6,,rest,2025-09-22 15:35:09+00:00,2025-09-22 15:16:00+00:00,,,2
4,"[255, 255]","['hip_raise', 'hip_raise']","[1, 1]",59.063,7,12,active,2025-09-22 15:36:09+00:00,2025-09-22 15:16:00+00:00,45.0,kilogram,1
,,,,60.569,8,,rest,2025-09-22 15:37:09+00:00,2025-09-22 15:16:00+00:00,,,2
5,"[255, 255]","['hip_raise', 'hip_raise']","[1, 1]",58.261,9,12,active,2025-09-22 15:38:09+00:00,2025-09-22 15:16:00+00:00,45.0,kilogram,1
,,,,346.894,10,,rest,2025-09-22 15:39:07+00:00,2025-09-22 15:16:00+00:00,,,2
6,"[255, 255]","['squat', 'squat']","[6, 6]",328.407,11,15,active,2025-09-22 15:44:54+00:00,2025-09-22 15:16:00+00:00,40.0,kilogram,4
,,,,90.227,12,,rest,2025-09-22 15:50:23+00:00,2025-09-22 15:16:00+00:00,,,5
7,"[255, 255]","['squat', 'squat']","[6, 6]",83.066,13,12,active,2025-09-22 15:51:53+00:00,2025-09-22 15:16:00+00:00,40.0,kilogram,4
,,,,90.328,14,,rest,2025-09-22 15:53:16+00:00,2025-09-22 15:16:00+00:00,,,5
8,"[255, 255]","['squat', 'squat']","[6, 6]",70.907,15,10,active,2025-09-22 15:54:46+00:00,2025-09-22 15:16:00+00:00,40.0,kilogram,4
,,,,90.498,16,,rest,2025-09-22 15:55:57+00:00,2025-09-22 15:16:00+00:00,,,5
9,"[255, 255]","['squat', 'squat']","[6, 6]",58.638,17,8,active,2025-09-22 15:57:28+00:00,2025-09-22 15:16:00+00:00,40.0,kilogram,4
,,,,300.367,18,,rest,2025-09-22 15:58:26+00:00,2025-09-22 15:16:00+00:00,,,5
10,"[255, 255]","['squat', 'squat']","[0, 0]",68.785,19,12,active,2025-09-22 16:03:27+00:00,2025-09-22 15:16:00+00:00,30.0,kilogram,7
,,,,60.466,20,,rest,2025-09-22 16:04:35+00:00,2025-09-22 15:16:00+00:00,,,8
11,"[255, 255]","['squat', 'squat']","[0, 0]",62.309,21,12,active,2025-09-22 16:05:36+00:00,2025-09-22 15:16:00+00:00,30.0,kilogram,7
,,,,60.597,22,,rest,2025-09-22 16:06:38+00:00,2025-09-22 15:16:00+00:00,,,8
12,"[255, 255]","['squat', 'squat']","[0, 0]",66.94,23,12,active,2025-09-22 16:07:39+00:00,2025-09-22 15:16:00+00:00,30.0,kilogram,7
,,,,90.472,24,,rest,2025-09-22 16:08:46+00:00,2025-09-22 15:16:00+00:00,,,8
13,"[255, 255]","['hip_stability', 'hip_stability']","[30, 30]",81.068,25,12,active,2025-09-22 16:10:16+00:00,2025-09-22 15:16:00+00:00,,kilogram,10
,,,,60.349,26,,rest,2025-09-22 16:11:37+00:00,2025-09-22 15:16:00+00:00,,,11
14,"[255, 255]","['hip_stability', 'hip_stability']","[30, 30]",72.488,27,12,active,2025-09-22 16:12:38+00:00,2025-09-22 15:16:00+00:00,,kilogram,10
,,,,60.327,28,,rest,2025-09-22 16:13:50+00:00,2025-09-22 15:16:00+00:00,,,11
15,"[255, 255]","['hip_stability', 'hip_stability']","[30, 30]",82.336,29,12,active,2025-09-22 16:14:50+00:00,2025-09-22 15:16:00+00:00,,kilogram,10
,,,,106.555,30,,rest,2025-09-22 16:16:13+00:00,2025-09-22 15:16:00+00:00,,,11
16,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",180.0,31,,active,2025-09-22 16:17:59+00:00,2025-09-22 15:16:00+00:00,0.0,kilogram,13
,,,,3.021,32,,rest,2025-09-22 16:20:59+00:00,2025-09-22 15:16:00+00:00,,,
