14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp,weight,weight_display_unit,wkt_step_index
0,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",300.0,0,,active,2025-10-06 13:09:11+00:00,2025-10-06 13:09:11+00:00,0.0,kilogram,0
1,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",256.387,1,,active,2025-10-06 13:14:11+00:00,2025-10-06 13:09:11+00:00,0.0,kilogram,1
2,"[255, 255]","['shoulder_press', 'shoulder_press']","[24, 24]",49.646,2,12,active,2025-10-06 13:18:27+00:00,2025-10-06 13:09:11+00:00,5.0,kilogram,2
,,,,40.477,3,,rest,2025-10-06 13:19:17+00:00,2025-10-06 13:09:11+00:00,,,3
3,"[255, 255]","['shoulder_press', 'shoulder_press']","[24, 24]",36.357,4,12,active,2025-10-06 13:19:57+00:00,2025-10-06 13:09:11+00:00,5.0,kilogram,2
,,,,40.683,5,,rest,2025-10-06 13:20:33+00:00,2025-10-06 13:09:11+00:00,,,3
4,"[255, 255]","['shoulder_press', 'shoulder_press']","[24, 24]",40.378,6,12,active,2025-10-06 13:21:14+00:00,2025-10-06 13:09:11+00:00,5.0,kilogram,2
,,,,40.196,7,,rest,2025-10-06 13:21:55+00:00,2025-10-06 13:09:11+00:00,,,3
5,"[255, 255]","['shoulder_press', 'shoulder_press']","[24, 24]",48.602,8,12,active,2025-10-06 13:22:35+00:00,2025-10-06 13:09:11+00:00,5.0,kilogram,2
,,,,100.53,9,,rest,2025-10-06 13:23:23+00:00,2025-10-06 13:09:11+00:00,,,3
6,"[255, 255]","['shrug', 'shrug']","[2, 2]",46.854,10,12,active,2025-10-06 13:25:04+00:00,2025-10-06 13:09:11+00:00,10.0,kilogram,5
7,"[255, 255]","['flye', 'flye']","[2, 2]",46.224,11,15,active,2025-10-06 13:25:51+00:00,2025-10-06 13:09:11+00:00,2.5,kilogram,6
,,,,45.425,12,,rest,2025-10-06 13:26:37+00:00,2025-10-06 13:09:11+00:00,,,7
8,"[255, 255]","['shrug', 'shrug']","[2, 2]",42.678,13,12,active,2025-10-06 13:27:22+00:00,2025-10-06 13:09:11+00:00,15.0,kilogram,5
9,"[255, 255]","['flye', 'flye']","[2, 2]",41.124,14,15,active,2025-10-06 13:28:05+00:00,2025-10-06 13:09:11+00:00,2.5,kilogram,6
,,,,45.484,15,,rest,2025-10-06 13:28:46+00:00,2025-10-06 13:09:11+00:00,,,7
10,"[255, 255]","['shrug', 'shrug']","[2, 2]",72.936,16,12,active,2025-10-06 13:29:32+00:00,2025-10-06 13:09:11+00:00,15.0,kilogram,5
11,"[255, 255]","['flye', 'flye']","[2, 2]",4.601,17,15,active,2025-10-06 13:30:45+00:00,2025-10-06 13:09:11+00:00,2.5,kilogram,6
,,,,45.51,18,,rest,2025-10-06 13:30:49+00:00,2025-10-06 13:09:11+00:00,,,7
12,"[255, 255]","['shrug', 'shrug']","[2, 2]",41.478,19,12,active,2025-10-06 13:31:35+00:00,2025-10-06 13:09:11+00:00,15.0,kilogram,5
