14,2,category,duration,message_index,repetitions,set_type,start_time,timestamp
0,"[255, None]","['unknown', 'curl']",178.359,0,11,active,2025-08-13 13:08:19+00:00,2025-08-13 13:08:19+00:00
,,,49.042,1,,rest,2025-08-13 13:11:17+00:00,2025-08-13 13:08:19+00:00
1,"[255, None]","['unknown', 'curl']",167.056,2,11,active,2025-08-13 13:12:06+00:00,2025-08-13 13:08:19+00:00
,,,45.748,3,,rest,2025-08-13 13:14:53+00:00,2025-08-13 13:08:19+00:00
2,"[255, None]","['unknown', 'curl']",207.183,4,45,active,2025-08-13 13:15:38+00:00,2025-08-13 13:08:19+00:00
,,,60.987,5,,rest,2025-08-13 13:19:06+00:00,2025-08-13 13:08:19+00:00
3,"[255, None]","['unknown', 'curl']",79.798,6,20,active,2025-08-13 13:20:07+00:00,2025-08-13 13:08:19+00:00
,,,47.152,7,,rest,2025-08-13 13:21:26+00:00,2025-08-13 13:08:19+00:00
4,"[255, None]","['unknown', 'curl']",71.962,8,20,active,2025-08-13 13:22:14+00:00,2025-08-13 13:08:19+00:00
,,,47.308,9,,rest,2025-08-13 13:23:26+00:00,2025-08-13 13:08:19+00:00
5,"[255, None]","['unknown', 'curl']",67.811,10,24,active,2025-08-13 13:24:13+00:00,2025-08-13 13:08:19+00:00
,,,75.303,11,,rest,2025-08-13 13:25:21+00:00,2025-08-13 13:08:19+00:00
6,"[170, 85]","['unknown', 'unknown']",132.235,12,7,active,2025-08-13 13:26:36+00:00,2025-08-13 13:08:19+00:00
,,,63.975,13,,rest,2025-08-13 13:28:48+00:00,2025-08-13 13:08:19+00:00
7,"[255, None]","['unknown', 'curl']",137.78,14,4,active,2025-08-13 13:29:52+00:00,2025-08-13 13:08:19+00:00
,,,30.012,15,,rest,2025-08-13 13:32:10+00:00,2025-08-13 13:08:19+00:00
