14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp,weight,weight_display_unit,wkt_step_index
0,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",300.0,0,,active,2025-09-25 15:57:10+00:00,2025-09-25 15:57:10+00:00,0.0,kilogram,0
1,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",360.479,1,,active,2025-09-25 16:02:10+00:00,2025-09-25 15:57:10+00:00,0.0,kilogram,1
2,"[255, 255]","['deadlift', 'deadlift']","[15, 15]",73.608,2,12,active,2025-09-25 16:08:11+00:00,2025-09-25 15:57:10+00:00,35.0,kilogram,2
,,,,60.775,3,,rest,2025-09-25 16:09:25+00:00,2025-09-25 15:57:10+00:00,,,3
3,"[255, 255]","['deadlift', 'deadlift']","[15, 15]",77.737,4,12,active,2025-09-25 16:10:25+00:00,2025-09-25 15:57:10+00:00,35.0,kilogram,2
,,,,90.269,5,,rest,2025-09-25 16:11:43+00:00,2025-09-25 15:57:10+00:00,,,3
4,"[255, 255]","['deadlift', 'deadlift']","[15, 15]",81.551,6,12,active,2025-09-25 16:13:13+00:00,2025-09-25 15:57:10+00:00,35.0,kilogram,2
,,,,90.482,7,,rest,2025-09-25 16:14:35+00:00,2025-09-25 15:57:10+00:00,,,3
5,"[255, 255]","['deadlift', 'deadlift']","[15, 15]",60.564,8,10,active,2025-09-25 16:16:05+00:00,2025-09-25 15:57:10+00:00,35.0,kilogram,2
,,,,150.423,9,,rest,2025-09-25 16:17:06+00:00,2025-09-25 15:57:10+00:00,,,3
6,"[255, 255]","['deadlift', 'deadlift']","[2, 2]",70.275,10,12,active,2025-09-25 16:19:36+00:00,2025-09-25 15:57:10+00:00,7.5,kilogram,5
,,,,60.382,11,,rest,2025-09-25 16:20:47+00:00,2025-09-25 15:57:10+00:00,,,6
7,"[255, 255]","['deadlift', 'deadlift']","[2, 2]",73.855,12,12,active,2025-09-25 16:21:47+00:00,2025-09-25 15:57:10+00:00,7.5,kilogram,5
,,,,60.514,13,,rest,2025-09-25 16:23:01+00:00,2025-09-25 15:57:10+00:00,,,6
8,"[255, 255]","['deadlift', 'deadlift']","[2, 2]",76.067,14,12,active,2025-09-25 16:24:01+00:00,2025-09-25 15:57:10+00:00,7.5,kilogram,5
,,,,60.43,15,,rest,2025-09-25 16:25:17+00:00,2025-09-25 15:57:10+00:00,,,6
9,"[255, 255]","['deadlift', 'deadlift']","[2, 2]",78.174,16,12,active,2025-09-25 16:26:18+00:00,2025-09-25 15:57:10+00:00,7.5,kilogram,5
,,,,120.487,17,,rest,2025-09-25 16:27:36+00:00,2025-09-25 15:57:10+00:00,,,6
10,"[255, 255]","['leg_curl', 'leg_curl']","[0, 0]",78.232,18,12,active,2025-09-25 16:29:36+00:00,2025-09-25 15:57:10+00:00,25.0,kilogram,8
,,,,60.546,19,,rest,2025-09-25 16:30:55+00:00,2025-09-25 15:57:10+00:00,,,9
11,"[255, 255]","['leg_curl', 'leg_curl']","[0, 0]",52.09,20,12,active,2025-09-25 16:31:55+00:00,2025-09-25 15:57:10+00:00,25.0,kilogram,8
,,,,60.501,21,,rest,2025-09-25 16:32:47+00:00,2025-09-25 15:57:10+00:00,,,9
12,"[255, 255]","['leg_curl', 'leg_curl']","[0, 0]",54.825,22,12,active,2025-09-25 16:33:48+00:00,2025-09-25 15:57:10+00:00,25.0,kilogram,8
,,,,62.909,23,,rest,2025-09-25 16:34:43+00:00,2025-09-25 15:57:10+00:00,,,9
13,"[255, 255]","['leg_curl', 'leg_curl']","[0, 0]",52.499,24,12,active,2025-09-25 16:35:46+00:00,2025-09-25 15:57:10+00:00,25.0,kilogram,8
,,,,120.278,25,,rest,2025-09-25 16:36:38+00:00,2025-09-25 15:57:10+00:00,,,9
14,"[255, 255]","['lunge', 'lunge']","[18, 18]",104.261,26,10,active,2025-09-25 16:38:38+00:00,2025-09-25 15:57:10+00:00,5.0,kilogram,11
,,,,60.423,27,,rest,2025-09-25 16:40:23+00:00,2025-09-25 15:57:10+00:00,,,12
15,"[255, 255]","['lunge', 'lunge']","[18, 18]",106.095,28,10,active,2025-09-25 16:41:23+00:00,2025-09-25 15:57:10+00:00,5.0,kilogram,11
,,,,60.511,29,,rest,2025-09-25 16:43:09+00:00,2025-09-25 15:57:10+00:00,,,12
16,"[255, 255]","['lunge', 'lunge']","[18, 18]",109.399,30,10,active,2025-09-25 16:44:10+00:00,2025-09-25 15:57:10+00:00,5.0,kilogram,11
,,,,93.037,31,,rest,2025-09-25 16:45:59+00:00,2025-09-25 15:57:10+00:00,,,12
17,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",1200.0,32,,active,2025-09-25 16:47:32+00:00,2025-09-25 15:57:10+00:00,0.0,kilogram,14
18,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",180.0,33,,active,2025-09-25 17:07:58+00:00,2025-09-25 15:57:10+00:00,0.0,kilogram,15
,,,,110.026,34,,rest,2025-09-25 17:10:58+00:00,2025-09-25 15:57:10+00:00,,,
