14,2,category,duration,message_index,repetitions,set_type,start_time,timestamp
0,"[255, None]","['unknown', 'curl']",275.293,0,12,active,2025-09-02 15:22:36+00:00,2025-09-02 15:22:36+00:00
,,,45.841,1,,rest,2025-09-02 15:27:11+00:00,2025-09-02 15:22:36+00:00
1,"[255, None]","['unknown', 'curl']",267.003,2,12,active,2025-09-02 15:27:57+00:00,2025-09-02 15:22:36+00:00
,,,45.559,3,,rest,2025-09-02 15:32:24+00:00,2025-09-02 15:22:36+00:00
2,"[255, None]","['unknown', 'curl']",101.183,4,10,active,2025-09-02 15:33:10+00:00,2025-09-02 15:22:36+00:00
,,,59.482,5,,rest,2025-09-02 15:34:51+00:00,2025-09-02 15:22:36+00:00
3,"[255, None]","['unknown', 'curl']",89.643,6,10,active,2025-09-02 15:35:50+00:00,2025-09-02 15:22:36+00:00
,,,61.174,7,,rest,2025-09-02 15:37:20+00:00,2025-09-02 15:22:36+00:00
4,"[127, 127]","['unknown', 'unknown']",95.291,8,10,active,2025-09-02 15:38:21+00:00,2025-09-02 15:22:36+00:00
,,,63.734,9,,rest,2025-09-02 15:39:56+00:00,2025-09-02 15:22:36+00:00
5,"[170, 85]","['curl', 'unknown']",81.269,10,10,active,2025-09-02 15:41:00+00:00,2025-09-02 15:22:36+00:00
,,,60.281,11,,rest,2025-09-02 15:42:21+00:00,2025-09-02 15:22:36+00:00
6,"[170, 85]","['curl', 'unknown']",71.872,12,10,active,2025-09-02 15:43:22+00:00,2025-09-02 15:22:36+00:00
,,,59.982,13,,rest,2025-09-02 15:44:34+00:00,2025-09-02 15:22:36+00:00
7,"[212, 42]","['curl', 'unknown']",70.968,14,10,active,2025-09-02 15:45:34+00:00,2025-09-02 15:22:36+00:00
,,,5.148,15,,rest,2025-09-02 15:46:45+00:00,2025-09-02 15:22:36+00:00
