107,135,136,143,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,timestamp
0,83,70,74,2.45,47.200000000000045,2.025,70,543492980,223033033,2025-06-11 12:55:09+00:00
1,78,70,74,7.92,59.39999999999998,2.081,70,543493676,223033978,2025-06-11 12:55:11+00:00
1,78,72,74,18.25,74.0,2.435,72,543494662,223034731,2025-06-11 12:55:13+00:00
1,78,72,74,23.77,78.39999999999998,4.88,72,543495324,223035050,2025-06-11 12:55:14+00:00
1,78,72,74,25.78,80.20000000000005,0.252,72,543495251,223035248,2025-06-11 12:55:15+00:00
1,78,72,74,28.52,85.0,1.913,72,543495704,223035179,2025-06-11 12:55:16+00:00
1,76,73,74,34.66,96.39999999999998,2.062,73,543496054,223036011,2025-06-11 12:55:18+00:00
1,76,73,74,38.99,101.79999999999995,2.249,73,543496449,223036298,2025-06-11 12:55:19+00:00
1,49,77,74,47.13,104.0,2.454,77,543497018,223036863,2025-06-11 12:55:21+00:00
1,34,81,74,50.29,104.20000000000005,2.622,81,543497305,223037029,2025-06-11 12:55:22+00:00
1,20,84,74,51.37,111.39999999999998,2.547,84,543497419,223037140,2025-06-11 12:55:23+00:00
1,5,83,74,64.83,110.20000000000005,2.043,83,543499066,223037393,2025-06-11 12:55:27+00:00
1,2,82,74,86.21,109.79999999999995,3.798,82,543500459,223034614,2025-06-11 12:55:31+00:00
1,1,85,74,120.22,104.39999999999998,3.863,85,543501574,223030125,2025-06-11 12:55:37+00:00
1,1,87,74,128.36,102.79999999999995,3.303,87,543501819,223028981,2025-06-11 12:55:39+00:00
1,0,90,74,135.99,100.20000000000005,3.611,90,543502082,223027771,2025-06-11 12:55:41+00:00
1,4,88,74,162.89,98.0,3.434,88,543503873,223024431,2025-06-11 12:55:47+00:00
1,4,88,74,177.59,99.20000000000005,4.04,88,543505411,223024621,2025-06-11 12:55:51+00:00
1,2,88,74,215.37,95.60000000000002,4.161,88,543509474,223025772,2025-06-11 12:55:59+00:00
1,1,86,72,230.5,94.39999999999998,4.572,86,543510951,223025740,2025-06-11 12:56:02+00:00
1,4,85,72,239.72,94.20000000000005,4.852,85,543511920,223026094,2025-06-11 12:56:04+00:00
1,3,86,72,287.75,97.39999999999998,5.197,86,543516969,223027742,2025-06-11 12:56:13+00:00
1,25,89,72,313.46,102.0,4.581,89,543519753,223028716,2025-06-11 12:56:18+00:00
1,27,90,72,318.36,102.79999999999995,4.507,90,543520256,223028944,2025-06-11 12:56:19+00:00
1,27,96,72,328.57,102.39999999999998,4.647,96,543521298,223029360,2025-06-11 12:56:21+00:00
1,32,99,72,343.34,102.0,4.507,99,543522746,223029843,2025-06-11 12:56:24+00:00
1,32,99,72,347.47,101.60000000000002,4.516,99,543523220,223029868,2025-06-11 12:56:25+00:00
1,32,99,72,351.91,100.60000000000002,4.6,99,543523713,223029740,2025-06-11 12:56:26+00:00
1,45,97,72,367.04,95.20000000000005,4.423,97,543524771,223028087,2025-06-11 12:56:30+00:00
1,45,97,72,371.54,94.39999999999998,4.544,97,543524881,223027401,2025-06-11 12:56:31+00:00
1,26,93,72,403.5,91.0,5.197,93,543525780,223022767,2025-06-11 12:56:37+00:00
1,21,96,72,436.09,89.20000000000005,5.561,96,543526689,223017881,2025-06-11 12:56:43+00:00
1,17,99,72,453.55,88.20000000000005,5.645,99,543527116,223015330,2025-06-11 12:56:46+00:00
1,17,99,72,459.53,88.0,5.626,99,543527255,223014480,2025-06-11 12:56:47+00:00
1,30,101,72,517.95,90.60000000000002,5.132,101,543528251,223005639,2025-06-11 12:56:57+00:00
1,35,102,72,544.46,90.60000000000002,5.393,102,543528899,223001778,2025-06-11 12:57:02+00:00
1,36,100,72,586.5,91.60000000000002,5.421,100,543530162,222995632,2025-06-11 12:57:10+00:00
1,14,102,72,629.76,90.0,5.673,102,543531578,222989276,2025-06-11 12:57:18+00:00
1,11,105,72,658.06,89.79999999999995,5.748,105,543532425,222985091,2025-06-11 12:57:23+00:00
1,11,105,72,669.78,89.79999999999995,5.729,105,543532783,222983298,2025-06-11 12:57:25+00:00
1,8,106,72,701.29,90.0,4.348,106,543533574,222978759,2025-06-11 12:57:31+00:00
1,16,103,72,722.38,90.60000000000002,4.544,103,543534192,222975654,2025-06-11 12:57:36+00:00
1,17,101,72,731.5,90.39999999999998,4.787,101,543534428,222974289,2025-06-11 12:57:38+00:00
1,20,98,72,755.62,88.79999999999995,5.123,98,543535029,222970678,2025-06-11 12:57:43+00:00
1,16,97,72,771.82,87.79999999999995,5.458,97,543535541,222968232,2025-06-11 12:57:46+00:00
1,19,100,72,808.76,87.20000000000005,6.046,100,543536575,222962818,2025-06-11 12:57:52+00:00
1,19,100,72,815.21,87.20000000000005,5.962,100,543536716,222961877,2025-06-11 12:57:53+00:00
1,18,103,72,827.56,86.79999999999995,5.869,103,543537022,222960036,2025-06-11 12:57:55+00:00
1,14,107,72,833.67,86.20000000000005,5.832,107,543537183,222959136,2025-06-11 12:57:56+00:00
1,9,110,72,845.39,85.79999999999995,5.729,110,543537490,222957418,2025-06-11 12:57:58+00:00
1,9,111,72,850.95,85.79999999999995,5.43,111,543537653,222956617,2025-06-11 12:57:59+00:00
1,11,111,72,892.33,86.60000000000002,5.477,111,543538722,222950491,2025-06-11 12:58:06+00:00
1,14,110,72,931.32,85.0,5.673,110,543539690,222944619,2025-06-11 12:58:13+00:00
1,11,107,72,967.66,84.39999999999998,5.701,107,543540533,222939294,2025-06-11 12:58:19+00:00
1,11,107,72,978.35,85.20000000000005,5.272,107,543540822,222937699,2025-06-11 12:58:21+00:00
1,15,106,72,988.06,85.39999999999998,4.637,106,543540987,222936231,2025-06-11 12:58:23+00:00
1,15,106,72,991.8,85.39999999999998,4.367,106,543541036,222935563,2025-06-11 12:58:24+00:00
1,17,105,72,997.09,85.20000000000005,4.955,105,543541205,222934715,2025-06-11 12:58:25+00:00
1,9,103,72,1017.35,84.79999999999995,3.368,103,543541773,222931705,2025-06-11 12:58:29+00:00
1,6,102,72,1035.78,87.79999999999995,3.508,102,543542306,222929263,2025-06-11 12:58:34+00:00
1,6,100,72,1044.84,88.20000000000005,2.837,100,543542864,222928421,2025-06-11 12:58:37+00:00
1,5,99,72,1047.87,88.60000000000002,3.49,99,543543212,222928372,2025-06-11 12:58:38+00:00
1,5,99,72,1066.91,92.79999999999995,4.815,99,543545332,222927929,2025-06-11 12:58:43+00:00
1,3,101,72,1110.67,98.0,5.486,101,543549992,222927321,2025-06-11 12:58:51+00:00
1,9,103,72,1147.58,99.79999999999995,4.395,103,543554054,222927444,2025-06-11 12:58:58+00:00
1,2,104,72,1160.01,96.0,3.219,104,543555382,222927185,2025-06-11 12:59:01+00:00
1,2,103,72,1163.67,94.60000000000002,3.424,103,543555616,222926728,2025-06-11 12:59:02+00:00
1,7,100,72,1177.11,92.0,4.348,100,543556012,222924782,2025-06-11 12:59:05+00:00
