107,135,136,143,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,timestamp
1,5,111,91,1073.5,103.39999999999998,4.712,111,543576503,222815862,2025-07-14 04:42:00+00:00
1,3,112,91,1082.09,104.0,4.413,112,543576203,222817061,2025-07-14 04:42:02+00:00
1,2,111,91,1097.48,103.39999999999998,4.535,111,543575278,222819175,2025-07-14 04:42:06+00:00
1,2,111,91,1101.83,103.79999999999995,4.413,111,543574978,222819676,2025-07-14 04:42:07+00:00
1,1,108,91,1119.64,104.0,4.759,108,543573676,222821749,2025-07-14 04:42:11+00:00
1,1,105,91,1134.0,104.39999999999998,4.712,105,543572606,222823306,2025-07-14 04:42:14+00:00
1,1,106,91,1138.72,105.39999999999998,4.74,106,543572297,222823898,2025-07-14 04:42:15+00:00
1,1,106,91,1173.04,104.39999999999998,4.843,106,543569540,222827373,2025-07-14 04:42:22+00:00
1,0,106,91,1203.87,103.0,5.43,106,543567045,222830535,2025-07-14 04:42:28+00:00
1,1,105,91,1214.6,102.20000000000005,5.356,105,543566394,222831915,2025-07-14 04:42:30+00:00
1,1,106,91,1225.09,102.0,5.039,106,543566059,222833484,2025-07-14 04:42:32+00:00
1,1,105,91,1231.19,102.79999999999995,5.505,105,543566087,222834429,2025-07-14 04:42:33+00:00
1,1,105,91,1248.06,103.20000000000005,5.552,105,543566054,222837008,2025-07-14 04:42:36+00:00
1,1,107,91,1281.86,103.39999999999998,5.374,107,543565805,222842137,2025-07-14 04:42:42+00:00
1,2,106,91,1321.73,102.79999999999995,4.497,106,543566041,222848177,2025-07-14 04:42:50+00:00
1,1,102,91,1330.53,102.39999999999998,4.329,102,543566182,222849504,2025-07-14 04:42:52+00:00
1,0,99,91,1343.6,103.60000000000002,4.572,99,543566466,222851503,2025-07-14 04:42:55+00:00
1,0,99,91,1348.45,104.39999999999998,4.843,99,543566479,222852286,2025-07-14 04:42:56+00:00
1,0,99,91,1359.77,105.39999999999998,5.682,99,543566431,222853983,2025-07-14 04:42:58+00:00
1,0,102,91,1402.71,105.20000000000005,5.449,102,543566285,222860485,2025-07-14 04:43:05+00:00
1,0,104,91,1408.82,104.60000000000002,5.384,104,543566260,222861370,2025-07-14 04:43:06+00:00
1,0,104,91,1447.78,102.79999999999995,6.037,104,543566238,222867345,2025-07-14 04:43:13+00:00
1,2,103,91,1466.52,102.0,6.317,103,543566121,222870191,2025-07-14 04:43:16+00:00
1,2,104,91,1484.78,102.20000000000005,5.72,104,543565520,222872849,2025-07-14 04:43:19+00:00
1,2,104,91,1527.31,101.39999999999998,5.953,104,543564361,222879139,2025-07-14 04:43:26+00:00
1,1,104,91,1561.01,101.39999999999998,5.216,104,543563570,222884176,2025-07-14 04:43:32+00:00
1,3,102,91,1587.02,100.60000000000002,4.096,102,543562517,222887897,2025-07-14 04:43:38+00:00
1,2,100,91,1597.52,100.0,4.553,100,543561531,222888438,2025-07-14 04:43:40+00:00
1,5,99,91,1602.34,99.20000000000005,5.104,99,543560998,222888617,2025-07-14 04:43:41+00:00
1,11,96,91,1623.18,97.0,5.458,96,543558769,222888955,2025-07-14 04:43:45+00:00
1,5,100,91,1645.5,96.0,5.458,100,543556386,222889249,2025-07-14 04:43:49+00:00
