135,136,143,current_stress,enhanced_respiration_rate,heart_rate,timestamp
8,62,77,9.0,14.0,62,2025-07-09 09:21:08+00:00
5,60,77,9.0,14.0,60,2025-07-09 09:21:09+00:00
5,60,77,12.0,14.0,60,2025-07-09 09:21:10+00:00
13,59,77,12.0,14.0,59,2025-07-09 09:21:11+00:00
13,59,77,12.0,15.0,59,2025-07-09 09:21:12+00:00
13,59,77,12.0,15.0,59,2025-07-09 09:21:13+00:00
16,58,77,12.0,15.0,58,2025-07-09 09:21:14+00:00
16,58,77,15.0,15.0,58,2025-07-09 09:21:15+00:00
16,58,77,15.0,15.0,58,2025-07-09 09:21:16+00:00
16,58,77,15.0,15.0,58,2025-07-09 09:21:17+00:00
5,57,77,15.0,15.0,57,2025-07-09 09:21:18+00:00
5,57,77,15.0,15.0,57,2025-07-09 09:21:19+00:00
5,57,77,20.0,15.0,57,2025-07-09 09:21:20+00:00
2,58,77,20.0,15.0,58,2025-07-09 09:21:21+00:00
2,58,77,20.0,15.0,58,2025-07-09 09:21:22+00:00
2,59,77,20.0,15.0,59,2025-07-09 09:21:23+00:00
2,59,77,20.0,15.0,59,2025-07-09 09:21:24+00:00
2,60,77,20.0,15.0,60,2025-07-09 09:21:25+00:00
2,60,77,20.0,15.0,60,2025-07-09 09:21:26+00:00
3,61,77,20.0,15.0,61,2025-07-09 09:21:27+00:00
3,61,77,20.0,15.0,61,2025-07-09 09:21:28+00:00
3,62,77,20.0,15.0,62,2025-07-09 09:21:29+00:00
3,62,77,24.0,15.0,62,2025-07-09 09:21:30+00:00
3,63,77,24.0,15.0,63,2025-07-09 09:21:31+00:00
3,63,77,24.0,15.0,63,2025-07-09 09:21:32+00:00
3,63,77,24.0,15.0,63,2025-07-09 09:21:33+00:00
3,62,77,24.0,16.0,62,2025-07-09 09:21:34+00:00
3,62,77,27.0,16.0,62,2025-07-09 09:21:35+00:00
2,63,77,27.0,16.0,63,2025-07-09 09:21:36+00:00
2,64,77,27.0,16.0,64,2025-07-09 09:21:37+00:00
2,64,77,27.0,16.0,64,2025-07-09 09:21:38+00:00
2,64,77,27.0,16.0,64,2025-07-09 09:21:39+00:00
2,64,77,27.0,16.0,64,2025-07-09 09:21:40+00:00
2,64,77,27.0,16.0,64,2025-07-09 09:21:41+00:00
2,64,77,27.0,16.0,64,2025-07-09 09:21:42+00:00
7,65,77,27.0,16.0,65,2025-07-09 09:21:43+00:00
6,66,77,27.0,16.0,66,2025-07-09 09:21:44+00:00
6,66,77,29.0,16.0,66,2025-07-09 09:21:45+00:00
6,66,77,29.0,16.0,66,2025-07-09 09:21:46+00:00
6,66,77,29.0,16.0,66,2025-07-09 09:21:47+00:00
0,64,77,29.0,16.0,64,2025-07-09 09:21:48+00:00
1,63,77,29.0,16.0,63,2025-07-09 09:21:49+00:00
1,62,77,30.0,16.0,62,2025-07-09 09:21:50+00:00
1,62,77,30.0,16.0,62,2025-07-09 09:21:51+00:00
1,62,77,30.0,16.0,62,2025-07-09 09:21:52+00:00
1,62,77,30.0,16.0,62,2025-07-09 09:21:53+00:00
1,62,77,30.0,16.0,62,2025-07-09 09:21:54+00:00
1,61,77,29.0,16.0,61,2025-07-09 09:21:55+00:00
1,62,77,29.0,16.0,62,2025-07-09 09:21:56+00:00
1,62,77,29.0,16.0,62,2025-07-09 09:21:57+00:00
1,61,77,29.0,16.0,61,2025-07-09 09:21:58+00:00
1,62,77,29.0,16.0,62,2025-07-09 09:21:59+00:00
0,63,77,29.0,16.0,63,2025-07-09 09:22:00+00:00
