14,2,category,category_subtype,duration,message_index,repetitions,set_type,start_time,timestamp,weight,weight_display_unit,wkt_step_index
0,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",300.0,0,,active,2025-10-03 15:25:13+00:00,2025-10-03 15:25:13+00:00,0.0,kilogram,0
1,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",370.475,1,,active,2025-10-03 15:30:12+00:00,2025-10-03 15:25:13+00:00,0.0,kilogram,1
2,"[255, 255]","['deadlift', 'deadlift']","[15, 15]",79.36,2,12,active,2025-10-03 15:36:23+00:00,2025-10-03 15:25:13+00:00,40.0,kilogram,2
,,,,60.437,3,,rest,2025-10-03 15:37:42+00:00,2025-10-03 15:25:13+00:00,,,3
3,"[255, 255]","['deadlift', 'deadlift']","[15, 15]",104.354,4,12,active,2025-10-03 15:38:43+00:00,2025-10-03 15:25:13+00:00,40.0,kilogram,2
,,,,60.313,5,,rest,2025-10-03 15:40:27+00:00,2025-10-03 15:25:13+00:00,,,3
4,"[255, 255]","['deadlift', 'deadlift']","[15, 15]",96.617,6,12,active,2025-10-03 15:41:27+00:00,2025-10-03 15:25:13+00:00,40.0,kilogram,2
,,,,60.387,7,,rest,2025-10-03 15:43:04+00:00,2025-10-03 15:25:13+00:00,,,3
5,"[255, 255]","['deadlift', 'deadlift']","[15, 15]",92.893,8,12,active,2025-10-03 15:44:04+00:00,2025-10-03 15:25:13+00:00,40.0,kilogram,2
,,,,150.452,9,,rest,2025-10-03 15:45:37+00:00,2025-10-03 15:25:13+00:00,,,3
6,"[255, 255]","['deadlift', 'deadlift']","[2, 2]",67.639,10,12,active,2025-10-03 15:48:08+00:00,2025-10-03 15:25:13+00:00,7.5,kilogram,5
,,,,60.509,11,,rest,2025-10-03 15:49:15+00:00,2025-10-03 15:25:13+00:00,,,6
7,"[255, 255]","['deadlift', 'deadlift']","[2, 2]",68.154,12,12,active,2025-10-03 15:50:16+00:00,2025-10-03 15:25:13+00:00,7.5,kilogram,5
,,,,60.414,13,,rest,2025-10-03 15:51:24+00:00,2025-10-03 15:25:13+00:00,,,6
8,"[255, 255]","['deadlift', 'deadlift']","[2, 2]",68.605,14,12,active,2025-10-03 15:52:24+00:00,2025-10-03 15:25:13+00:00,7.5,kilogram,5
,,,,60.443,15,,rest,2025-10-03 15:53:33+00:00,2025-10-03 15:25:13+00:00,,,6
9,"[255, 255]","['deadlift', 'deadlift']","[2, 2]",82.067,16,12,active,2025-10-03 15:54:34+00:00,2025-10-03 15:25:13+00:00,7.5,kilogram,5
,,,,150.636,17,,rest,2025-10-03 15:55:56+00:00,2025-10-03 15:25:13+00:00,,,6
10,"[255, 255]","['leg_curl', 'leg_curl']","[0, 0]",47.945,18,12,active,2025-10-03 15:58:26+00:00,2025-10-03 15:25:13+00:00,25.0,kilogram,8
,,,,45.62,19,,rest,2025-10-03 15:59:14+00:00,2025-10-03 15:25:13+00:00,,,9
11,"[255, 255]","['leg_curl', 'leg_curl']","[0, 0]",52.134,20,12,active,2025-10-03 16:00:00+00:00,2025-10-03 15:25:13+00:00,25.0,kilogram,8
,,,,45.584,21,,rest,2025-10-03 16:00:52+00:00,2025-10-03 15:25:13+00:00,,,9
12,"[255, 255]","['leg_curl', 'leg_curl']","[0, 0]",49.801,22,12,active,2025-10-03 16:01:38+00:00,2025-10-03 15:25:13+00:00,25.0,kilogram,8
,,,,45.829,23,,rest,2025-10-03 16:02:27+00:00,2025-10-03 15:25:13+00:00,,,9
13,"[255, 255]","['leg_curl', 'leg_curl']","[0, 0]",52.067,24,12,active,2025-10-03 16:03:13+00:00,2025-10-03 15:25:13+00:00,25.0,kilogram,8
,,,,120.323,25,,rest,2025-10-03 16:04:05+00:00,2025-10-03 15:25:13+00:00,,,9
14,"[255, 255]","['lunge', 'lunge']","[18, 18]",108.959,26,10,active,2025-10-03 16:06:06+00:00,2025-10-03 15:25:13+00:00,5.0,kilogram,11
,,,,75.534,27,,rest,2025-10-03 16:07:54+00:00,2025-10-03 15:25:13+00:00,,,12
15,"[255, 255]","['lunge', 'lunge']","[18, 18]",98.358,28,10,active,2025-10-03 16:09:10+00:00,2025-10-03 15:25:13+00:00,5.0,kilogram,11
,,,,75.408,29,,rest,2025-10-03 16:10:48+00:00,2025-10-03 15:25:13+00:00,,,12
16,"[255, 255]","['lunge', 'lunge']","[18, 18]",97.356,30,10,active,2025-10-03 16:12:04+00:00,2025-10-03 15:25:13+00:00,5.0,kilogram,11
,,,,72.586,31,,rest,2025-10-03 16:13:41+00:00,2025-10-03 15:25:13+00:00,,,12
17,"[255, 255]","['run_indoor', 'run_indoor']","[0, 0]",1200.0,32,,active,2025-10-03 16:14:54+00:00,2025-10-03 15:25:13+00:00,0.0,kilogram,14
18,"[255, 255]","['warm_up', 'warm_up']","[34, 34]",180.0,33,,active,2025-10-03 16:34:54+00:00,2025-10-03 15:25:13+00:00,0.0,kilogram,15
,,,,2.602,34,,rest,2025-10-03 16:37:54+00:00,2025-10-03 15:25:13+00:00,,,
