107,135,136,143,cadence,cycle_length16,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,timestamp
0,59,80,68,0,0.25,0.0,80.39999999999998,1.372,0.0,80,543624253,222660902,2025-09-01 14:35:27+00:00
1,29,80,68,0,0.16,2.7,81.39999999999998,0.0,0.0,80,543624559,222660734,2025-09-01 14:35:28+00:00
1,24,81,68,0,0.24,8.18,80.79999999999995,2.146,0.0,81,543625016,222660146,2025-09-01 14:35:30+00:00
1,20,84,68,0,45.69,14.78,82.39999999999998,3.191,0.0,84,543625532,222659553,2025-09-01 14:35:32+00:00
1,17,86,68,83,0.05,20.21,84.39999999999998,3.256,0.5,86,543626073,222659185,2025-09-01 14:35:34+00:00
1,17,89,68,84,0.06,25.93,86.79999999999995,3.032,0.5,89,543626613,222658702,2025-09-01 14:35:36+00:00
1,20,92,68,84,0.0,34.76,88.60000000000002,2.921,0.0,92,543627367,222657940,2025-09-01 14:35:39+00:00
1,26,97,68,84,0.01,42.14,90.0,2.725,0.0,97,543627966,222657223,2025-09-01 14:35:42+00:00
1,27,100,68,84,0.01,45.07,90.0,2.669,0.5,100,543628221,222656879,2025-09-01 14:35:43+00:00
1,27,105,68,84,0.01,50.75,89.79999999999995,2.715,0.5,105,543628609,222656306,2025-09-01 14:35:45+00:00
1,25,107,68,84,0.01,53.64,89.60000000000002,2.715,0.5,107,543628855,222656046,2025-09-01 14:35:46+00:00
1,16,111,68,85,0.05,58.87,89.20000000000005,2.753,0.0,111,543629356,222655592,2025-09-01 14:35:48+00:00
1,10,113,68,85,0.01,63.84,88.79999999999995,2.734,0.0,113,543629780,222655089,2025-09-01 14:35:50+00:00
1,4,114,68,86,0.05,71.98,88.20000000000005,2.678,0.5,114,543630409,222654260,2025-09-01 14:35:53+00:00
1,4,114,68,86,0.07,82.42,88.0,2.687,0.0,114,543631221,222653169,2025-09-01 14:35:57+00:00
1,5,118,68,86,0.03,90.53,88.0,2.641,0.5,118,543631840,222652275,2025-09-01 14:36:00+00:00
1,3,119,68,85,6.83,93.29,88.0,2.65,0.0,119,543631994,222651986,2025-09-01 14:36:01+00:00
1,2,122,68,86,0.11,103.98,88.0,2.678,0.5,122,543632894,222650944,2025-09-01 14:36:05+00:00
1,0,125,68,86,0.01,117.02,88.60000000000002,2.678,0.0,125,543633872,222649556,2025-09-01 14:36:10+00:00
1,1,126,68,86,0.04,128.0,87.79999999999995,2.659,0.0,126,543634823,222648519,2025-09-01 14:36:14+00:00
1,1,128,68,87,0.04,138.3,87.79999999999995,2.669,0.5,128,543635650,222647458,2025-09-01 14:36:18+00:00
1,1,129,68,84,0.0,148.87,87.60000000000002,2.659,0.0,129,543636512,222646427,2025-09-01 14:36:22+00:00
1,1,128,68,88,0.14,161.9,87.39999999999998,2.631,0.0,128,543637505,222645009,2025-09-01 14:36:27+00:00
1,1,128,68,86,0.07,175.28,87.60000000000002,2.641,0.0,128,543638674,222643800,2025-09-01 14:36:32+00:00
1,1,129,68,86,0.07,183.37,87.20000000000005,2.641,0.0,129,543639270,222642956,2025-09-01 14:36:35+00:00
1,1,130,68,86,0.0,195.91,87.39999999999998,2.622,0.5,130,543640346,222641873,2025-09-01 14:36:40+00:00
1,1,130,68,85,0.12,203.61,86.60000000000002,2.622,0.0,130,543640945,222640994,2025-09-01 14:36:43+00:00
1,1,130,68,87,0.0,216.08,87.20000000000005,2.594,0.0,130,543642017,222639769,2025-09-01 14:36:48+00:00
1,1,131,68,87,0.0,224.28,87.39999999999998,2.594,0.0,131,543642659,222639036,2025-09-01 14:36:51+00:00
1,1,133,68,86,0.0,237.05,88.20000000000005,2.594,0.5,133,543643655,222637717,2025-09-01 14:36:56+00:00
1,1,135,68,88,0.0,244.97,88.60000000000002,2.594,0.0,135,543644258,222636853,2025-09-01 14:36:59+00:00
1,1,138,68,86,0.0,257.03,88.39999999999998,2.575,0.5,138,543645114,222635466,2025-09-01 14:37:04+00:00
1,1,139,68,86,0.0,263.92,89.0,2.557,0.0,139,543645513,222634642,2025-09-01 14:37:07+00:00
1,1,141,68,86,19.14,275.08,90.0,2.557,0.0,141,543646175,222633139,2025-09-01 14:37:11+00:00
1,1,142,68,86,19.14,282.83,90.79999999999995,2.566,0.5,142,543646406,222632072,2025-09-01 14:37:14+00:00
